Alternus Clean Energy Price to Free Cash Flow Ratio Historical Data,Alternus Clean Energy Price to Free Cash Flow Ratio Historical Data,Alternus Clean Energy Price to Free Cash Flow Ratio Historical Data,Alternus Clean Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-02-11,0.23,,0.09
2024-09-30,0.17,$2.54,0.07
2024-06-30,0.37,$20.21,0.02
2024-03-31,0.43,$22.65,0.02
2023-12-31,1.5,$0.00,0.0
2023-09-30,10.58,$-4.93,0.0
