Q32 Bio Price to Free Cash Flow Ratio Historical Data,Q32 Bio Price to Free Cash Flow Ratio Historical Data,Q32 Bio Price to Free Cash Flow Ratio Historical Data,Q32 Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.08,,0.0
2024-12-31,3.44,$-7.02,0.0
2024-09-30,44.62,$-35.18,0.0
2024-06-30,17.95,$12.00,1.5
2024-03-31,17.04,$-23.48,0.0
2023-12-31,196.99,$-53.52,0.0
2023-09-30,379.08,$-31.55,0.0
2023-06-30,286.74,$-84.93,0.0
2023-03-31,333.72,$-62.40,0.0
2022-12-31,408.24,$-36.02,0.0
2022-09-30,521.64,$-38.32,0.0
2022-06-30,638.28,$-38.50,0.0
2022-03-31,984.96,$-35.44,0.0
2021-12-31,1179.36,$-36.49,0.0
2021-09-30,2549.88,$-30.05,0.0
2021-06-30,2355.48,$-33.63,0.0
2021-03-31,3048.84,$-38.25,0.0
2020-12-31,3657.96,$-38.42,0.0
2020-09-30,3466.8,$-48.28,0.0
2020-06-30,4921.56,$-47.44,0.0
2020-03-31,5034.96,$-45.81,0.0
2019-12-31,6706.8,$-48.34,0.0
2019-09-30,5864.4,$-55.59,0.0
2019-06-30,6340.68,$-53.69,0.0
2019-03-31,8984.52,$30.75,292.22
2018-12-31,7244.64,$-42.52,0.0
