Noah Holdings Price to Free Cash Flow Ratio Historical Data,Noah Holdings Price to Free Cash Flow Ratio Historical Data,Noah Holdings Price to Free Cash Flow Ratio Historical Data,Noah Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.11,,47.24
2024-09-30,12.33,$0.24,52.42
2024-06-30,7.59,$-1.32,0.0
2024-03-31,9.0,$0.24,38.24
2023-12-31,10.87,$0.24,46.21
2023-09-30,9.81,$1.21,8.12
2023-06-30,11.08,$2.44,4.55
2023-03-31,12.67,$0.05,270.81
2022-12-31,11.87,$1.21,9.82
2022-09-30,10.12,$-1.65,0.0
2022-06-30,15.49,$-1.65,0.0
2022-03-31,18.02,$-0.49,0.0
2021-12-31,23.5,$-1.65,0.0
2021-09-30,28.43,$1.84,15.46
2021-06-30,36.15,$1.84,19.65
2021-03-31,34.0,$1.84,18.48
2020-12-31,36.61,$1.84,19.9
2020-09-30,19.96,$2.84,7.03
2020-06-30,19.5,$2.84,6.87
2020-03-31,19.8,$2.84,6.97
2019-12-31,27.09,$2.84,9.54
2019-09-30,22.36,$2.13,10.48
2019-06-30,32.58,$2.13,15.27
2019-03-31,37.11,$2.13,17.39
2018-12-31,33.17,$2.13,15.55
2018-09-30,32.27,$1.21,26.69
2018-06-30,39.94,$1.21,33.03
2018-03-31,36.15,$1.21,29.9
2017-12-31,35.44,$1.21,29.31
2017-09-30,24.59,$1.40,17.54
2017-06-30,21.94,$1.40,15.65
2017-03-31,19.44,$1.40,13.86
2016-12-31,16.79,$1.40,11.98
2016-09-30,19.99,$1.38,14.47
2016-06-30,18.46,$1.38,13.36
2016-03-31,19.05,$1.38,13.79
2015-12-31,21.39,$1.38,15.48
2015-09-30,17.99,$1.52,11.8
2015-06-30,23.15,$1.52,15.19
2015-03-31,17.9,$1.52,11.75
2014-12-31,16.0,$1.52,10.5
2014-09-30,10.28,$1.54,6.65
2014-06-30,10.83,$1.54,7.01
2014-03-31,11.04,$1.54,7.15
2013-12-31,13.78,$1.54,8.92
2013-09-30,13.06,$0.51,25.79
2013-06-30,6.79,$0.51,13.42
2013-03-31,5.57,$0.51,11.0
2012-12-31,4.38,$0.51,8.66
2012-09-30,3.25,$0.31,10.41
2012-06-30,3.7,$0.31,11.86
2012-03-31,6.0,$0.31,19.23
2011-12-31,4.54,$0.31,14.57
2011-09-30,6.8,$0.42,16.02
