Sangoma Technologies Price to Free Cash Flow Ratio Historical Data,Sangoma Technologies Price to Free Cash Flow Ratio Historical Data,Sangoma Technologies Price to Free Cash Flow Ratio Historical Data,Sangoma Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.63,,3.23
2024-12-31,7.14,$1.43,4.98
2024-09-30,5.61,$1.34,4.18
2024-06-30,5.01,$1.21,4.15
2024-03-31,4.84,$1.18,4.1
2023-12-31,3.2,$0.95,3.36
2023-09-30,3.47,$0.81,4.31
2023-06-30,3.7,$0.68,5.45
2023-03-31,3.76,$0.68,5.51
2022-12-31,4.85,$0.61,8.01
2022-09-30,5.25,$0.70,7.51
