Montrose Environmental Price to Free Cash Flow Ratio Historical Data,Montrose Environmental Price to Free Cash Flow Ratio Historical Data,Montrose Environmental Price to Free Cash Flow Ratio Historical Data,Montrose Environmental Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.87,,161.11
2024-12-31,18.55,$0.09,200.98
2024-09-30,26.3,$-0.47,0.0
2024-06-30,44.56,$-0.32,0.0
2024-03-31,39.17,$0.03,1424.36
2023-12-31,32.13,$0.91,35.23
2023-09-30,29.26,$0.83,35.11
2023-06-30,42.12,$0.71,58.98
2023-03-31,35.67,$0.97,36.84
2022-12-31,44.39,$0.38,117.25
2022-09-30,33.65,$0.95,35.53
2022-06-30,33.76,$1.70,19.88
2022-03-31,52.93,$1.13,46.64
2021-12-31,70.51,$1.17,60.21
2021-09-30,61.74,$0.39,159.49
2021-06-30,53.66,$-1.10,0.0
