Immersion Price to Free Cash Flow Ratio Historical Data,Immersion Price to Free Cash Flow Ratio Historical Data,Immersion Price to Free Cash Flow Ratio Historical Data,Immersion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.56,,0.0
2025-01-31,8.37,$-4.43,0.0
2024-10-31,8.43,$-2.09,0.0
2024-06-30,9.32,$-2.14,0.0
2024-04-30,7.2,$-0.27,0.0
2024-03-31,7.36,$0.95,7.73
2023-12-31,6.9,$0.11,64.82
2023-09-30,6.43,$-0.46,0.0
2023-06-30,6.86,$-0.18,0.0
2023-03-31,8.64,$0.11,81.09
2022-12-31,6.68,$0.32,20.73
2022-09-30,5.21,$0.95,5.48
2022-06-30,5.07,$0.59,8.6
2022-03-31,5.28,$0.32,16.39
2021-12-31,5.42,$0.15,36.35
2021-09-30,6.5,$0.59,11.07
2021-06-30,8.33,$0.61,13.66
2021-03-31,9.1,$0.15,60.98
2020-12-31,10.72,$-0.04,0.0
2020-09-30,6.7,$0.82,8.18
2020-06-30,5.92,$0.54,10.94
2020-03-31,5.09,$-0.04,0.0
2019-12-31,7.06,$-0.24,0.0
2019-09-30,7.27,$-3.67,0.0
2019-06-30,7.23,$-3.69,0.0
2019-03-31,8.01,$-0.24,0.0
2018-12-31,8.51,$2.82,3.02
2018-09-30,10.04,$6.72,1.49
2018-06-30,14.66,$6.48,2.26
2018-03-31,11.35,$2.82,4.02
2017-12-31,6.71,$-0.50,0.0
2017-09-30,7.76,$-2.87,0.0
2017-06-30,8.62,$-1.07,0.0
2017-03-31,8.23,$-0.50,0.0
2016-12-31,10.1,$-0.21,0.0
2016-09-30,7.75,$0.45,17.1
2016-06-30,6.97,$-1.07,0.0
2016-03-31,7.85,$-0.21,0.0
2015-12-31,11.07,$0.74,14.87
2015-09-30,10.67,$0.94,11.38
2015-06-30,12.03,$0.90,13.39
2015-03-31,8.72,$0.74,11.71
2014-12-31,8.99,$0.55,16.4
2014-09-30,8.15,$0.14,59.09
2014-06-30,12.08,$0.37,32.45
2014-03-31,10.02,$0.55,18.27
2013-12-31,9.86,$0.67,14.77
2013-09-30,12.54,$1.24,10.12
2013-06-30,12.58,$1.22,10.33
2013-03-31,11.15,$0.67,16.7
2012-12-31,6.52,$0.03,189.68
2012-09-30,5.2,$-0.12,0.0
2012-06-30,5.35,$-0.14,0.0
2012-03-31,5.19,$0.03,150.75
2011-12-31,4.92,$0.16,30.63
2011-09-30,5.68,$0.28,20.02
2011-06-30,8.1,$0.27,30.24
2011-03-31,7.24,$0.16,45.06
2010-12-31,6.37,$0.00,0.0
2010-09-30,5.61,$0.47,11.91
2010-06-30,4.81,$0.38,12.52
2010-03-31,4.75,$0.00,0.0
2009-12-31,4.35,$-0.16,0.0
