QuantaSing Group Price to Free Cash Flow Ratio Historical Data,QuantaSing Group Price to Free Cash Flow Ratio Historical Data,QuantaSing Group Price to Free Cash Flow Ratio Historical Data,QuantaSing Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.62,,3.87
2024-12-31,2.16,$0.68,3.19
2024-09-30,2.32,$0.68,3.42
2024-06-30,1.65,$0.68,2.44
2024-03-31,4.09,$0.91,4.47
2023-12-31,1.56,$0.91,1.71
