Olema Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Olema Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Olema Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Olema Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.12,,0.0
2024-12-31,5.83,$-1.78,0.0
2024-09-30,11.94,$-1.77,0.0
2024-06-30,10.82,$-1.72,0.0
2024-03-31,11.32,$-1.77,0.0
2023-12-31,14.03,$-1.85,0.0
2023-09-30,12.35,$-1.95,0.0
2023-06-30,9.03,$-1.99,0.0
2023-03-31,3.47,$-2.12,0.0
2022-12-31,2.45,$-2.06,0.0
2022-09-30,2.76,$-2.05,0.0
2022-06-30,4.07,$-1.91,0.0
2022-03-31,4.26,$-1.48,0.0
2021-12-31,9.36,$-1.32,0.0
2021-09-30,27.56,$-1.82,0.0
