Battalion Oil Price to Free Cash Flow Ratio Historical Data,Battalion Oil Price to Free Cash Flow Ratio Historical Data,Battalion Oil Price to Free Cash Flow Ratio Historical Data,Battalion Oil Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.14,,0.0
2024-09-30,6.67,$-0.94,0.0
2024-06-30,3.34,$-0.31,0.0
2024-03-31,5.66,$-1.00,0.0
2023-12-31,9.61,$-1.46,0.0
2023-09-30,6.18,$-2.30,0.0
2023-06-30,5.71,$-2.85,0.0
2023-03-31,6.57,$-4.37,0.0
2022-12-31,9.71,$-2.88,0.0
2022-09-30,11.9,$-1.10,0.0
2022-06-30,8.53,$0.05,161.55
2022-03-31,18.58,$0.76,24.52
2021-12-31,9.8,$1.02,9.61
2021-09-30,9.73,$1.44,6.77
2021-06-30,13.4,$1.07,12.51
2021-03-31,10.88,$0.85,12.79
2020-12-31,8.3,$-1.40,0.0
