Vinci Partners Investments Price to Free Cash Flow Ratio Historical Data,Vinci Partners Investments Price to Free Cash Flow Ratio Historical Data,Vinci Partners Investments Price to Free Cash Flow Ratio Historical Data,Vinci Partners Investments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.33,,12.22
2024-09-30,9.93,$0.85,11.75
2024-06-30,10.9,$1.32,8.25
2024-03-31,11.3,$1.10,10.25
2023-12-31,10.95,$0.64,17.07
2023-09-30,10.2,$0.57,17.85
2023-06-30,9.32,$0.62,14.93
2023-03-31,8.13,$0.46,17.69
2022-12-31,9.04,$0.38,23.93
2022-09-30,10.27,$0.48,21.49
2022-06-30,10.53,$0.62,16.89
2022-03-31,13.41,$0.59,22.65
2021-12-31,10.19,$0.96,10.67
