EPR Properties Price to Free Cash Flow Ratio Historical Data,EPR Properties Price to Free Cash Flow Ratio Historical Data,EPR Properties Price to Free Cash Flow Ratio Historical Data,EPR Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,51.61,,12.27
2024-12-31,44.28,$4.21,10.53
2024-09-30,48.43,$3.53,13.74
2024-06-30,40.71,$4.46,9.12
2024-03-31,40.61,$4.73,8.58
2023-12-31,45.46,$4.65,9.77
2023-09-30,38.26,$4.46,8.58
2023-06-30,42.3,$4.08,10.36
2023-03-31,33.79,$2.19,15.44
2022-12-31,32.77,$2.70,12.15
2022-09-30,30.5,$3.16,9.65
2022-06-30,39.16,$3.21,12.2
2022-03-31,44.92,$5.10,8.81
2021-12-31,38.38,$4.24,9.05
2021-09-30,39.3,$5.63,6.98
2021-06-30,41.31,$4.25,9.72
2021-03-31,36.54,$2.39,15.29
2020-12-31,25.49,$2.81,9.06
2020-09-30,21.57,$3.20,6.74
2020-06-30,25.98,$3.18,8.16
2020-03-31,18.76,$1.13,16.64
2019-12-31,53.29,$0.26,201.25
2019-09-30,57.1,$-3.61,0.0
2019-06-30,54.6,$-3.84,0.0
2019-03-31,55.47,$0.46,119.32
2018-12-31,45.5,$0.59,76.79
2018-09-30,47.84,$1.33,36.03
2018-06-30,44.6,$-0.15,0.0
2018-03-31,37.46,$-1.73,0.0
2017-12-31,43.44,$-2.70,0.0
2017-09-30,45.58,$-3.99,0.0
2017-06-30,46.3,$-3.20,0.0
2017-03-31,46.77,$-5.11,0.0
2016-12-31,44.97,$-4.79,0.0
2016-09-30,48.67,$-4.17,0.0
2016-06-30,49.28,$-4.66,0.0
2016-03-31,40.14,$-4.65,0.0
2015-12-31,34.69,$-4.51,0.0
2015-09-30,30.12,$-4.23,0.0
2015-06-30,31.46,$-3.81,0.0
2015-03-31,33.94,$-2.80,0.0
2014-12-31,32.11,$-2.89,0.0
2014-09-30,27.81,$-4.13,0.0
2014-06-30,30.18,$-3.71,0.0
2014-03-31,28.39,$-2.47,0.0
2013-12-31,25.72,$-1.78,0.0
2013-09-30,25.1,$-0.13,0.0
2013-06-30,25.49,$0.50,51.18
2013-03-31,26.0,$0.81,32.05
2012-12-31,22.68,$0.44,51.66
2012-09-30,21.51,$1.12,19.16
2012-06-30,19.57,$1.48,13.26
2012-03-31,21.68,$1.87,11.57
2011-12-31,20.11,$1.81,11.12
2011-09-30,17.65,$2.07,8.51
2011-06-30,20.77,$2.90,7.17
2011-03-31,20.51,$0.09,224.16
2010-12-31,19.95,$0.97,20.47
2010-09-30,18.37,$-2.87,0.0
2010-06-30,15.96,$-3.12,0.0
2010-03-31,16.96,$-0.26,0.0
2009-12-31,14.32,$-0.16,0.0
