UNITY Biotechnology Price to Free Cash Flow Ratio Historical Data,UNITY Biotechnology Price to Free Cash Flow Ratio Historical Data,UNITY Biotechnology Price to Free Cash Flow Ratio Historical Data,UNITY Biotechnology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.7,,0.0
2024-12-31,0.98,$-1.24,0.0
2024-09-30,1.47,$-1.37,0.0
2024-06-30,1.35,$-1.53,0.0
2024-03-31,1.64,$-2.02,0.0
2023-12-31,1.93,$-2.50,0.0
2023-09-30,2.4,$-3.50,0.0
2023-06-30,2.55,$-2.76,0.0
2023-03-31,1.63,$-4.06,0.0
2022-12-31,2.74,$-5.49,0.0
2022-09-30,3.95,$-4.87,0.0
2022-06-30,5.64,$-7.18,0.0
2022-03-31,11.2,$-7.54,0.0
2021-12-31,14.6,$-8.11,0.0
2021-09-30,30.0,$-10.95,0.0
2021-06-30,46.4,$-11.73,0.0
2021-03-31,60.0,$-13.04,0.0
2020-12-31,52.4,$-15.53,0.0
2020-09-30,34.6,$-15.36,0.0
2020-06-30,86.8,$-16.47,0.0
2020-03-31,58.0,$-17.31,0.0
2019-12-31,72.1,$-16.96,0.0
2019-09-30,61.0,$-23.04,0.0
2019-06-30,95.0,$-18.40,0.0
2019-03-31,81.1,$-25.41,0.0
