Tile Shop Hldgs Price to Free Cash Flow Ratio Historical Data,Tile Shop Hldgs Price to Free Cash Flow Ratio Historical Data,Tile Shop Hldgs Price to Free Cash Flow Ratio Historical Data,Tile Shop Hldgs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.51,,22.53
2024-12-31,6.93,$0.29,23.98
2024-09-30,6.59,$0.42,15.64
2024-06-30,6.93,$0.70,9.91
2024-03-31,7.03,$0.92,7.64
2023-12-31,7.36,$1.07,6.86
2023-09-30,5.49,$0.87,6.34
2023-06-30,5.54,$0.50,11.06
2023-03-31,4.69,$0.19,24.11
2022-12-31,4.38,$-0.23,0.0
2022-09-30,3.52,$-0.19,0.0
2022-06-30,3.07,$-0.10,0.0
2022-03-31,6.55,$0.13,52.36
2021-12-31,7.13,$0.56,12.73
2021-09-30,7.06,$0.84,8.38
2021-06-30,7.41,$1.15,6.43
2021-03-31,1.34,$1.34,1.0
2020-12-31,1.34,$1.26,1.07
2020-09-30,1.34,$1.12,1.2
2020-06-30,1.34,$0.95,1.42
2020-03-31,1.34,$0.53,2.53
2019-12-31,1.34,$0.23,5.89
2019-09-30,2.94,$0.03,108.4
2019-06-30,3.62,$-0.36,0.0
2019-03-31,5.12,$-0.28,0.0
2018-12-31,4.92,$-0.33,0.0
2018-09-30,6.42,$-0.45,0.0
2018-06-30,6.87,$-0.07,0.0
2018-03-31,5.31,$0.00,0.0
2017-12-31,8.43,$0.10,85.1
2017-09-30,11.08,$0.32,34.74
2017-06-30,17.96,$0.23,77.65
2017-03-31,16.7,$0.29,57.2
2016-12-31,16.92,$0.51,33.37
2016-09-30,14.32,$0.64,22.38
2016-06-30,17.2,$0.76,22.73
2016-03-31,12.9,$0.79,16.3
2015-12-31,14.19,$0.80,17.64
2015-09-30,10.37,$0.80,12.92
2015-06-30,12.28,$0.71,17.37
2015-03-31,10.48,$0.47,22.1
2014-12-31,7.68,$0.12,65.68
2014-09-30,8.0,$-0.11,0.0
2014-06-30,13.23,$-0.49,0.0
2014-03-31,13.37,$-0.73,0.0
2013-12-31,15.64,$-0.64,0.0
2013-09-30,25.52,$-0.64,0.0
2013-06-30,25.06,$0.37,67.22
