Amprius Technologies Price to Free Cash Flow Ratio Historical Data,Amprius Technologies Price to Free Cash Flow Ratio Historical Data,Amprius Technologies Price to Free Cash Flow Ratio Historical Data,Amprius Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.31,,0.0
2024-09-30,1.11,$-0.43,0.0
2024-06-30,1.27,$-0.56,0.0
2024-03-31,2.65,$-0.56,0.0
2023-12-31,5.29,$-0.50,0.0
2023-09-30,4.74,$-0.46,0.0
2023-06-30,7.18,$-0.39,0.0
