Rayonier Price to Free Cash Flow Ratio Historical Data,Rayonier Price to Free Cash Flow Ratio Historical Data,Rayonier Price to Free Cash Flow Ratio Historical Data,Rayonier Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.24,,27.54
2024-12-31,26.1,$1.03,25.45
2024-09-30,30.29,$1.05,28.93
2024-06-30,27.14,$1.19,22.84
2024-03-31,30.72,$1.22,25.18
2023-12-31,30.62,$1.28,23.86
2023-09-30,25.71,$1.10,23.31
2023-06-30,28.1,$0.97,28.87
2023-03-31,29.5,$1.26,23.35
2022-12-31,28.98,$1.20,24.08
2022-09-30,26.13,$-0.17,0.0
2022-06-30,32.31,$0.59,54.69
2022-03-31,35.27,$1.14,31.0
2021-12-31,34.4,$0.99,34.9
2021-09-30,30.2,$2.29,13.18
2021-06-30,30.19,$1.53,19.77
2021-03-31,26.89,$0.67,40.07
2020-12-31,24.3,$1.62,14.98
2020-09-30,21.68,$0.61,35.66
2020-06-30,20.12,$0.55,36.6
2020-03-31,18.91,$0.57,33.1
2019-12-31,25.92,$0.01,0.0
2019-09-30,22.13,$0.67,33.12
2019-06-30,23.55,$0.90,26.1
2019-03-31,24.28,$1.33,18.21
2018-12-31,21.14,$1.39,15.17
2018-09-30,25.58,$2.41,10.63
2018-06-30,29.04,$2.24,12.99
2018-03-31,26.22,$2.12,12.37
2017-12-31,23.41,$2.12,11.07
2017-09-30,21.21,$2.10,10.11
2017-06-30,20.94,$2.39,8.75
2017-03-31,20.45,$3.12,6.56
2016-12-31,19.03,$2.77,6.87
2016-09-30,18.81,$2.10,8.96
2016-06-30,18.42,$1.88,9.78
2016-03-31,17.15,$0.75,22.9
2015-12-31,15.26,$0.93,16.39
2015-09-30,15.0,$0.95,15.82
2015-06-30,17.18,$0.83,20.6
2015-03-31,17.94,$1.28,13.99
2014-12-31,18.42,$1.47,12.57
2014-09-30,20.34,$3.47,5.86
2014-06-30,22.67,$3.61,6.28
2014-03-31,21.52,$3.80,5.67
2013-12-31,19.53,$3.74,5.22
2013-09-30,25.51,$2.01,12.67
2013-06-30,25.17,$2.44,10.31
2013-03-31,26.89,$2.15,12.52
2012-12-31,23.18,$2.25,10.29
2012-09-30,21.73,$2.25,9.66
2012-06-30,19.73,$2.31,8.55
2012-03-31,19.2,$2.18,8.79
2011-12-31,19.26,$2.29,8.4
2011-09-30,15.72,$1.74,9.02
2011-06-30,18.43,$1.62,11.39
2011-03-31,17.43,$3.12,5.58
2010-12-31,14.56,$2.93,4.97
2010-09-30,13.75,$3.64,3.77
2010-06-30,11.95,$3.49,3.42
2010-03-31,12.2,$1.96,6.23
2009-12-31,11.19,$1.80,6.23
