Pro-Dex Price to Free Cash Flow Ratio Historical Data,Pro-Dex Price to Free Cash Flow Ratio Historical Data,Pro-Dex Price to Free Cash Flow Ratio Historical Data,Pro-Dex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,49.05,,123.86
2024-12-31,46.75,$0.40,118.06
2024-09-30,29.85,$1.83,16.33
2024-06-30,19.64,$1.46,13.45
2024-03-31,17.6,$1.35,13.06
2023-12-31,17.52,$0.83,21.02
2023-09-30,15.7,$0.57,27.33
2023-06-30,19.1,$1.23,15.48
2023-03-31,16.41,$-0.40,0.0
2022-12-31,15.9,$-1.00,0.0
2022-09-30,17.72,$-0.42,0.0
2022-06-30,15.95,$-0.66,0.0
2022-03-31,16.53,$0.78,21.19
2021-12-31,23.21,$-0.37,0.0
2021-09-30,25.67,$-1.89,0.0
2021-06-30,30.56,$-2.63,0.0
2021-03-31,26.95,$-1.95,0.0
2020-12-31,30.97,$-0.89,0.0
2020-09-30,28.6,$0.63,45.06
2020-06-30,17.82,$1.09,16.4
2020-03-31,16.2,$0.44,36.68
2019-12-31,17.55,$0.78,22.62
2019-09-30,15.3,$0.62,24.64
2019-06-30,12.98,$0.45,28.67
2019-03-31,14.48,$0.76,19.05
2018-12-31,12.08,$0.60,20.27
2018-09-30,10.4,$0.32,32.29
2018-06-30,6.65,$0.51,13.11
2018-03-31,6.85,$0.53,12.82
2017-12-31,6.8,$0.69,9.83
2017-09-30,7.25,$0.88,8.21
2017-06-30,6.15,$0.65,9.53
2017-03-31,4.6,$0.65,7.1
2016-12-31,4.7,$0.22,21.72
2016-09-30,4.58,$0.18,25.15
2016-06-30,5.56,$0.04,134.3
2016-03-31,3.82,$-0.35,0.0
2015-12-31,2.42,$-0.34,0.0
2015-09-30,2.46,$-0.52,0.0
2015-06-30,2.34,$-0.24,0.0
2015-03-31,2.06,$-0.17,0.0
2014-12-31,2.47,$0.09,27.38
2014-09-30,2.28,$0.15,15.09
2014-06-30,2.1,$0.15,13.97
2014-03-31,1.99,$0.16,12.78
2013-12-31,2.43,$-0.08,0.0
2013-09-30,2.0,$-0.23,0.0
2013-06-30,1.9,$-0.41,0.0
2013-03-31,2.09,$-0.61,0.0
2012-12-31,2.05,$-0.24,0.0
2012-09-30,1.72,$-0.22,0.0
2012-06-30,2.03,$-0.07,0.0
2012-03-31,2.45,$0.45,5.5
2011-12-31,2.46,$0.75,3.28
2011-09-30,2.0,$0.78,2.57
2011-06-30,2.08,$0.80,2.6
2011-03-31,2.3,$0.67,3.44
2010-12-31,2.01,$0.66,3.02
2010-09-30,2.1,$0.96,2.18
2010-06-30,1.89,$0.96,1.97
2010-03-31,1.53,$1.03,1.48
2009-12-31,1.52,$0.72,2.1
