Enveric Biosciences Price to Free Cash Flow Ratio Historical Data,Enveric Biosciences Price to Free Cash Flow Ratio Historical Data,Enveric Biosciences Price to Free Cash Flow Ratio Historical Data,Enveric Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.73,,0.0
2024-09-30,0.47,$-23.45,0.0
2024-06-30,0.63,$-40.42,0.0
2024-03-31,1.0,$-70.43,0.0
2023-12-31,1.3,$-97.79,0.0
2023-09-30,2.38,$-149.58,0.0
2023-06-30,3.37,$-114.17,0.0
2023-03-31,1.66,$-131.47,0.0
2022-12-31,2.08,$-183.84,0.0
2022-09-30,4.22,$-248.23,0.0
2022-06-30,10.72,$-325.78,0.0
2022-03-31,16.5,$-313.29,0.0
2021-12-31,46.5,$-369.97,0.0
2021-09-30,103.5,$-538.45,0.0
2021-06-30,119.0,$-524.15,0.0
2021-03-31,153.5,$-534.25,0.0
2020-12-31,213.0,$-506.63,0.0
2020-09-30,276.0,$-300.71,0.0
2020-06-30,310.0,$-255.67,0.0
2020-03-31,192.0,$-209.83,0.0
2019-12-31,452.0,$-91.86,0.0
2019-09-30,851.0,$-3.34,0.0
2019-06-30,1750.5,$-3.42,0.0
2019-03-31,1675.0,$-3.22,0.0
2018-12-31,872.0,$-2.69,0.0
2018-09-30,6500.0,$-0.25,0.0
