Cytosorbents Price to Free Cash Flow Ratio Historical Data,Cytosorbents Price to Free Cash Flow Ratio Historical Data,Cytosorbents Price to Free Cash Flow Ratio Historical Data,Cytosorbents Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.09,,0.0
2024-09-30,1.5,$-0.37,0.0
2024-06-30,0.7,$-0.44,0.0
2024-03-31,0.95,$-0.50,0.0
2023-12-31,1.11,$-0.50,0.0
2023-09-30,1.88,$-0.48,0.0
2023-06-30,3.59,$-0.53,0.0
2023-03-31,3.37,$-0.67,0.0
2022-12-31,1.55,$-0.79,0.0
2022-09-30,1.36,$-0.82,0.0
2022-06-30,2.19,$-0.77,0.0
2022-03-31,3.19,$-0.55,0.0
2021-12-31,4.19,$-0.41,0.0
2021-09-30,8.12,$-0.29,0.0
2021-06-30,7.55,$-0.25,0.0
2021-03-31,8.68,$-0.13,0.0
2020-12-31,7.97,$-0.16,0.0
2020-09-30,7.98,$-0.26,0.0
2020-06-30,9.9,$-0.34,0.0
2020-03-31,7.73,$-0.50,0.0
2019-12-31,3.85,$-0.54,0.0
2019-09-30,5.03,$-0.51,0.0
2019-06-30,6.61,$-0.42,0.0
2019-03-31,7.57,$-0.43,0.0
2018-12-31,8.08,$-0.37,0.0
2018-09-30,12.9,$-0.31,0.0
2018-06-30,11.4,$-0.32,0.0
2018-03-31,7.05,$-0.27,0.0
2017-12-31,6.5,$-0.27,0.0
2017-09-30,6.2,$-0.28,0.0
2017-06-30,4.3,$-0.29,0.0
2017-03-31,4.5,$-0.30,0.0
2016-12-31,5.45,$-0.27,0.0
2016-09-30,6.4,$-0.32,0.0
2016-06-30,4.55,$-0.34,0.0
2016-03-31,3.92,$-0.35,0.0
2015-12-31,5.57,$-0.38,0.0
2015-09-30,6.31,$-0.73,0.0
