Lands' End Price to Free Cash Flow Ratio Historical Data,Lands' End Price to Free Cash Flow Ratio Historical Data,Lands' End Price to Free Cash Flow Ratio Historical Data,Lands' End Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.16,,6.22
2024-10-31,15.74,$1.63,9.63
2024-07-31,17.69,$1.79,9.89
2024-04-30,13.68,$2.67,5.12
2024-01-31,9.47,$2.99,3.17
2023-10-31,6.28,$2.68,2.34
2023-07-31,9.38,$2.96,3.17
2023-04-30,7.17,$1.19,6.03
2023-01-31,9.03,$-2.00,0.0
2022-10-31,10.48,$-2.34,0.0
2022-07-31,12.75,$-3.17,0.0
2022-04-30,14.02,$-1.26,0.0
2022-01-31,18.33,$1.35,13.62
2021-10-31,26.28,$2.69,9.76
2021-07-31,38.33,$2.79,13.73
2021-04-30,23.04,$3.39,6.79
2021-01-31,27.61,$1.88,14.66
2020-10-31,16.05,$2.85,5.63
2020-07-31,8.62,$-0.45,0.0
2020-04-30,8.51,$-1.54,0.0
2020-01-31,11.65,$-0.33,0.0
2019-10-31,12.07,$-1.98,0.0
2019-07-31,10.9,$-0.21,0.0
2019-04-30,17.51,$0.14,122.53
2019-01-31,17.9,$0.12,152.99
2018-10-31,16.31,$0.70,23.23
2018-07-31,24.25,$0.82,29.46
2018-04-30,19.35,$0.32,60.17
2018-01-31,16.8,$-0.30,0.0
2017-10-31,10.9,$-1.03,0.0
2017-07-31,13.5,$-0.83,0.0
2017-04-30,23.6,$-0.63,0.0
2017-01-31,15.35,$-0.29,0.0
2016-10-31,15.6,$1.06,14.68
2016-07-31,14.21,$0.26,54.82
2016-04-30,24.33,$-0.13,0.0
2016-01-31,21.78,$0.44,49.35
2015-10-31,24.68,$0.23,109.25
2015-07-31,23.58,$2.65,8.9
2015-04-30,29.38,$3.82,7.7
2015-01-31,34.69,$6.08,5.71
