Seanergy Maritime Holdings Corp Price to Free Cash Flow Ratio Historical Data,Seanergy Maritime Holdings Corp Price to Free Cash Flow Ratio Historical Data,Seanergy Maritime Holdings Corp Price to Free Cash Flow Ratio Historical Data,Seanergy Maritime Holdings Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.26,,4.43
2024-06-30,9.67,$1.64,5.9
2024-03-31,8.4,$2.40,3.5
2023-12-31,7.48,$2.98,2.51
2023-09-30,5.25,$0.58,9.01
2023-06-30,4.57,$0.54,8.48
2023-03-31,4.77,$-0.86,0.0
2022-12-31,4.64,$-1.87,0.0
2022-09-30,4.23,$-8.03,0.0
2022-06-30,6.96,$-0.31,0.0
2022-03-31,9.46,$-3.43,0.0
2021-12-31,7.31,$-5.43,0.0
2021-09-30,11.54,$2.07,5.57
2021-06-30,8.91,$-6.15,0.0
2021-03-31,8.43,$-1.68,0.0
2020-09-30,3.63,0,0.0
2020-03-31,19.35,0,0.0
2019-09-30,61.3,0,0.0
2019-03-31,521.93,0,0.0
2018-09-30,1717.99,"$-5,077.78",0.0
2018-03-31,1666.43,"$-5,411.00",0.0
2017-03-31,1565.8,"$-6,549.70",0.0
2016-12-31,2195.94,"$-6,549.70",0.0
2016-09-30,5900.39,"$-31,872.65",0.0
2016-06-30,4200.73,"$-42,198.71",0.0
2016-03-31,5289.34,"$-45,963.32",0.0
2015-12-31,6491.38,"$-45,963.32",0.0
2015-09-30,7133.93,"$-15,556.74",0.0
2015-06-30,5346.63,"$-4,897.46",0.0
2015-03-31,7637.09,$5.84,1306.67
2014-12-31,7924.47,$5.84,1355.84
2014-09-30,16593.65,$0.42,39602.98
2014-06-30,13080.15,$0.42,31217.54
2014-03-31,16898.21,$0.42,40329.87
2013-12-31,19191.54,$0.42,45803.19
2013-09-30,15753.46,$4.82,3268.01
2013-06-30,14512.28,$3.41,4261.92
2013-03-31,19009.18,$4.89,3884.18
2012-12-31,9930.41,$5.12,1939.8
2012-09-30,19858.91,$2.00,9943.87
2012-06-30,19763.43,$4.35,4541.86
2012-03-31,31697.88,$3.90,8124.33
2011-12-31,20623.67,$3.68,5609.9
2011-09-30,30456.69,$1.98,15397.72
2011-06-30,56330.56,$1.04,54210.92
2011-03-31,87646.54,0,0.0
2010-12-31,131040.17,0,0.0
2010-09-30,158966.76,0,0.0
2010-06-30,164695.29,0,0.0
2010-03-31,166127.42,0,0.0
2009-12-31,419614.96,0,0.0
