Pacific Gas & Electric Price to Free Cash Flow Ratio Historical Data,Pacific Gas & Electric Price to Free Cash Flow Ratio Historical Data,Pacific Gas & Electric Price to Free Cash Flow Ratio Historical Data,Pacific Gas & Electric Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.2,,0.0
2024-12-31,20.18,$-1.09,0.0
2024-09-30,19.77,$-1.67,0.0
2024-06-30,17.45,$-2.20,0.0
2024-03-31,16.74,$-1.98,0.0
2023-12-31,18.0,$-2.32,0.0
2023-09-30,16.09,$-1.87,0.0
2023-06-30,17.24,$-2.43,0.0
2023-03-31,16.13,$-2.96,0.0
2022-12-31,16.22,$-2.75,0.0
2022-09-30,12.47,$-3.22,0.0
2022-06-30,9.96,$-2.97,0.0
2022-03-31,11.91,$-2.77,0.0
2021-12-31,12.11,$-2.73,0.0
2021-09-30,9.58,$-11.52,0.0
2021-06-30,10.15,$-22.25,0.0
2021-03-31,11.68,$-21.55,0.0
2020-12-31,12.43,$-21.34,0.0
2020-09-30,9.37,$-14.14,0.0
2020-06-30,8.85,$-3.70,0.0
2020-03-31,8.97,$-4.83,0.0
2019-12-31,10.85,$-2.84,0.0
2019-09-30,9.98,$-2.96,0.0
2019-06-30,22.87,$-2.47,0.0
2019-03-31,17.76,$-1.55,0.0
2018-12-31,23.7,$-3.41,0.0
2018-09-30,45.91,$-1.58,0.0
2018-06-30,42.47,$-0.17,0.0
2018-03-31,43.83,$0.04,1224.36
2017-12-31,44.73,$0.66,68.29
2017-09-30,67.94,$0.63,107.23
2017-06-30,65.71,$-0.37,0.0
2017-03-31,65.18,$-1.61,0.0
2016-12-31,59.25,$-2.59,0.0
2016-09-30,59.16,$-3.07,0.0
2016-06-30,61.34,$-3.40,0.0
2016-03-31,56.86,$-2.91,0.0
2015-12-31,50.26,$-2.86,0.0
2015-09-30,49.47,$-2.62,0.0
2015-06-30,45.6,$-1.36,0.0
2015-03-31,48.84,$-1.74,0.0
2014-12-31,48.58,$-2.43,0.0
2014-09-30,40.76,$-2.94,0.0
2014-06-30,43.01,$-3.82,0.0
2014-03-31,38.33,$-4.05,0.0
2013-12-31,35.37,$-4.00,0.0
2013-09-30,35.53,$-1.95,0.0
2013-06-30,39.27,$-1.68,0.0
2013-03-31,37.85,$0.13,302.08
2012-12-31,33.8,$0.61,55.68
2012-09-30,35.49,$-1.19,0.0
2012-06-30,37.26,$-0.87,0.0
2012-03-31,35.37,$-1.50,0.0
2011-12-31,33.23,$-0.74,0.0
2011-09-30,33.72,$0.34,98.52
2011-06-30,33.16,$-0.44,0.0
2011-03-31,34.47,$0.02,1545.91
2010-12-31,36.94,$-1.52,0.0
2010-09-30,34.74,$-3.04,0.0
2010-06-30,31.13,$-2.56,0.0
2010-03-31,31.78,$-3.05,0.0
2009-12-31,33.1,$-2.38,0.0
