"Natuzzi, S.p.A Price to Free Cash Flow Ratio Historical Data","Natuzzi, S.p.A Price to Free Cash Flow Ratio Historical Data","Natuzzi, S.p.A Price to Free Cash Flow Ratio Historical Data","Natuzzi, S.p.A Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.69,,inf
2024-09-30,4.35,0,0.0
2024-06-30,4.9,0,0.0
2024-03-31,6.25,0,0.0
2023-12-31,6.77,0,0.0
2023-09-30,7.05,$0.49,14.5
2023-06-30,7.0,$-0.04,0.0
2023-03-31,5.3,$1.39,3.8
2022-12-31,7.69,$1.05,7.35
2022-09-30,6.2,$1.42,4.35
2022-06-30,7.52,$2.56,2.94
2022-03-31,11.0,$0.89,12.42
2021-12-31,15.93,$0.17,96.37
2021-09-30,16.27,$0.24,68.1
2021-06-30,20.18,$-0.72,0.0
2021-03-31,12.13,$0.06,195.02
2020-12-31,12.55,$1.36,9.22
2020-09-30,1.7,$2.37,0.72
2020-06-30,1.1,$4.80,0.23
2020-03-31,0.51,$2.33,0.22
2019-06-30,2.42,$1.20,2.02
2018-12-31,3.94,$-1.94,0.0
2018-09-30,6.85,$-2.40,0.0
2018-06-30,7.95,$-2.14,0.0
2018-03-31,8.2,$-0.74,0.0
2017-12-31,8.0,$-1.12,0.0
2017-09-30,10.25,$-2.74,0.0
2017-06-30,13.25,$-1.08,0.0
2017-03-31,14.37,$-1.57,0.0
2016-12-31,11.3,0,0.0
2016-09-30,8.75,0,0.0
2016-06-30,7.25,0,0.0
2016-03-31,7.3,$1.00,7.27
2015-12-31,8.05,0,0.0
2015-09-30,10.25,$-0.79,0.0
2015-06-30,10.7,$-3.81,0.0
2015-03-31,8.5,$-5.50,0.0
2014-12-31,7.75,$-5.29,0.0
2014-09-30,10.15,$-4.28,0.0
2014-06-30,12.85,$-0.98,0.0
2014-03-31,14.12,$-0.48,0.0
2013-12-31,12.95,$-1.25,0.0
2013-09-30,9.0,$-1.58,0.0
2013-06-30,10.85,$-1.90,0.0
2013-03-31,11.2,$-2.21,0.0
2012-12-31,9.6,$-1.73,0.0
2012-09-30,11.25,$-8.36,0.0
2012-06-30,12.15,$-9.36,0.0
2012-03-31,13.5,$-11.03,0.0
2011-12-31,11.25,$-5.02,0.0
2011-09-30,14.25,$1.95,7.32
2011-06-30,17.6,$2.12,8.32
2011-03-31,23.1,$3.31,6.97
2010-12-31,16.35,$-2.33,0.0
2010-09-30,18.55,$-2.23,0.0
2010-06-30,14.75,$-1.53,0.0
2010-03-31,22.5,$0.54,42.02
2009-12-31,16.15,$2.92,5.52
