Sportsman's Warehouse Holdings Price to Free Cash Flow Ratio Historical Data,Sportsman's Warehouse Holdings Price to Free Cash Flow Ratio Historical Data,Sportsman's Warehouse Holdings Price to Free Cash Flow Ratio Historical Data,Sportsman's Warehouse Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.96,,1.17
2024-10-31,2.61,$0.82,3.18
2024-07-31,2.55,$1.58,1.62
2024-04-30,3.2,$-0.16,0.0
2024-01-31,3.85,$-0.74,0.0
2023-10-31,5.09,$-2.14,0.0
2023-07-31,6.3,$-3.01,0.0
2023-04-30,6.22,$-1.35,0.0
2023-01-31,9.43,$-0.41,0.0
2022-10-31,8.98,$0.31,28.52
2022-07-31,9.86,$-0.12,0.0
2022-04-30,9.61,$-2.12,0.0
2022-01-31,10.96,$-1.69,0.0
2021-10-31,17.26,$-1.20,0.0
2021-07-31,17.67,$-0.08,0.0
2021-04-30,17.56,$4.10,4.28
2021-01-31,17.52,$4.93,3.55
2020-10-31,13.02,$3.80,3.43
2020-07-31,16.09,$3.70,4.35
2020-04-30,7.16,$1.70,4.21
2020-01-31,6.48,$1.10,5.91
2019-10-31,6.81,$1.83,3.73
2019-07-31,4.49,$1.33,3.38
2019-04-30,4.46,$0.66,6.75
2019-01-31,5.14,$0.34,15.27
2018-10-31,5.03,$-0.18,0.0
2018-07-31,5.09,$0.42,12.06
2018-04-30,4.99,$-0.04,0.0
2018-01-31,5.07,$-0.24,0.0
2017-10-31,4.1,$-0.23,0.0
2017-07-31,4.53,$-1.20,0.0
2017-04-30,4.09,$-0.51,0.0
2017-01-31,7.44,$-0.56,0.0
2016-10-31,9.2,$-0.43,0.0
2016-07-31,10.18,$-0.03,0.0
2016-04-30,11.38,$-0.26,0.0
2016-01-31,13.11,$0.03,378.9
2015-10-31,10.76,$0.03,308.31
2015-07-31,11.69,$0.18,64.55
2015-04-30,9.63,$0.29,33.26
2015-01-31,7.13,$-0.24,0.0
