PennantPark Floating Rate Capital Price to Free Cash Flow Ratio Historical Data,PennantPark Floating Rate Capital Price to Free Cash Flow Ratio Historical Data,PennantPark Floating Rate Capital Price to Free Cash Flow Ratio Historical Data,PennantPark Floating Rate Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.12,,0.0
2024-12-31,10.93,$-11.94,0.0
2024-09-30,11.26,$-12.19,0.0
2024-06-30,10.93,$-5.90,0.0
2024-03-31,10.49,$-3.35,0.0
2023-12-31,10.86,$-0.47,0.0
2023-09-30,9.31,$2.77,3.37
2023-06-30,9.04,$2.79,3.24
2023-03-31,8.76,$1.76,4.97
2022-12-31,8.82,$1.12,7.89
2022-09-30,7.52,$-1.13,0.0
2022-06-30,8.78,$-4.62,0.0
2022-03-31,10.09,$-4.33,0.0
2021-12-31,9.33,$-2.26,0.0
2021-09-30,9.14,$1.28,7.12
2021-06-30,8.9,$4.71,1.89
2021-03-31,8.12,$7.01,1.16
2020-12-31,7.03,$3.01,2.34
2020-09-30,5.47,$-0.13,0.0
2020-06-30,5.26,$-2.28,0.0
2020-03-31,2.93,$-6.31,0.0
2019-12-31,7.1,$-3.71,0.0
2019-09-30,6.6,$-3.13,0.0
2019-06-30,6.42,$-3.19,0.0
2019-03-31,6.95,$-3.47,0.0
2018-12-31,6.14,$-5.35,0.0
2018-09-30,6.82,$-5.44,0.0
2018-06-30,6.94,$-4.36,0.0
2018-03-31,6.51,$-1.45,0.0
2017-12-31,6.68,$-1.37,0.0
2017-09-30,6.91,$-2.53,0.0
2017-06-30,6.6,$-3.72,0.0
2017-03-31,6.39,$-6.74,0.0
2016-12-31,6.34,$-6.08,0.0
2016-09-30,5.82,$-6.19,0.0
2016-06-30,5.33,$-6.59,0.0
2016-03-31,4.92,$-5.83,0.0
2015-12-31,4.6,$-3.44,0.0
2015-09-30,4.77,$-0.14,0.0
2015-06-30,5.42,$2.15,2.52
2015-03-31,5.37,$5.15,1.04
2014-12-31,5.15,$1.67,3.09
2014-09-30,5.07,$-1.49,0.0
2014-06-30,5.16,$-7.69,0.0
2014-03-31,4.89,$-7.71,0.0
2013-12-31,4.77,$-6.92,0.0
2013-06-30,4.72,$-7.34,0.0
2013-03-31,4.58,$-3.01,0.0
2012-12-31,4.09,$-6.56,0.0
2012-09-30,4.0,$-6.98,0.0
2012-06-30,3.69,$8.46,0.44
2012-03-31,3.57,$-3.41,0.0
