Daily Journal (S.C.) Price to Free Cash Flow Ratio Historical Data,Daily Journal (S.C.) Price to Free Cash Flow Ratio Historical Data,Daily Journal (S.C.) Price to Free Cash Flow Ratio Historical Data,Daily Journal (S.C.) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,399.7,,169.98
2024-12-31,567.99,$2.35,241.54
2024-09-30,490.1,$-0.10,0.0
2024-06-30,394.48,$2.50,158.04
2024-03-31,361.61,$6.18,58.54
2023-12-31,340.82,$8.33,40.92
2023-09-30,294.0,$10.89,26.99
2023-06-30,289.28,$9.38,30.85
2023-03-31,284.96,$7.15,39.86
2022-12-31,250.51,$-2.08,0.0
2022-09-30,256.39,$-3.56,0.0
2022-06-30,258.8,$-4.52,0.0
2022-03-31,311.99,$-4.83,0.0
2021-12-31,356.73,$4.61,77.4
2021-09-30,320.37,$2.36,135.84
2021-06-30,338.5,$2.76,122.57
2021-03-31,316.45,$2.67,118.42
2020-12-31,404.0,$1.88,215.25
2020-09-30,242.0,$1.56,155.3
2020-06-30,270.0,$0.35,770.11
2020-03-31,228.3,$0.12,1933.11
2019-12-31,290.42,$0.59,496.36
2019-09-30,247.56,$1.05,235.77
2019-06-30,238.0,$2.65,89.98
2019-03-31,214.1,$-0.96,0.0
2018-12-31,234.0,$-2.77,0.0
2018-09-30,241.0,$-1.52,0.0
2018-06-30,230.2,$-4.11,0.0
2018-03-31,228.49,$-3.50,0.0
2017-12-31,230.22,$-1.63,0.0
2017-09-30,218.61,$-2.10,0.0
2017-06-30,209.94,$-1.89,0.0
2017-03-31,214.29,$-0.05,0.0
2016-12-31,241.8,$0.80,302.74
2016-09-30,219.0,$-1.85,0.0
2016-06-30,236.99,$-0.38,0.0
2016-03-31,195.69,$-0.70,0.0
2015-12-31,202.0,$1.34,150.6
2015-09-30,186.2,$5.21,35.76
2015-06-30,196.51,$3.44,57.06
2015-03-31,183.2,$5.44,33.67
2014-12-31,263.01,$3.97,66.32
2014-09-30,180.5,$2.95,61.22
2014-06-30,206.69,$4.65,44.41
2014-03-31,172.97,$3.22,53.78
2013-12-31,191.85,$2.67,71.82
2013-09-30,146.99,$3.90,37.65
2013-06-30,113.0,$2.12,53.21
2013-03-31,111.0,$2.66,41.75
2012-12-31,92.55,$4.74,19.54
2012-09-30,93.77,$4.77,19.66
2012-06-30,85.78,$6.51,13.17
2012-03-31,78.12,$6.70,11.66
2011-12-31,65.15,$7.86,8.29
2011-09-30,65.25,$7.38,8.84
2011-06-30,72.0,$6.68,10.78
2011-03-31,73.9,$6.99,10.58
2010-12-31,72.0,$4.21,17.1
2010-09-30,72.0,$6.57,10.95
2010-06-30,68.18,$6.97,9.79
2010-03-31,66.78,$5.68,11.75
2009-12-31,62.0,$8.03,7.72
