Coeptis Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data,Coeptis Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data,Coeptis Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data,Coeptis Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.8,,0.0
2024-09-30,0.18,$-4.09,0.0
2024-06-30,0.29,$-4.11,0.0
2024-03-31,0.3,$-5.03,0.0
2023-12-31,0.78,$-5.64,0.0
2023-09-30,1.16,$-5.08,0.0
2023-06-30,1.55,$-5.65,0.0
2023-03-31,1.44,$-5.57,0.0
2022-12-31,1.53,$-5.42,0.0
2022-09-30,10.19,$-12.04,0.0
2022-06-30,10.08,$-8.49,0.0
2022-03-31,10.09,$-8.25,0.0
2021-12-31,10.0,$-8.23,0.0
2021-09-30,9.95,$-1.92,0.0
