Emerson Radio Price to Free Cash Flow Ratio Historical Data,Emerson Radio Price to Free Cash Flow Ratio Historical Data,Emerson Radio Price to Free Cash Flow Ratio Historical Data,Emerson Radio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.45,,0.0
2024-12-31,0.42,$-0.27,0.0
2024-09-30,0.51,$-0.20,0.0
2024-06-30,0.59,$-0.28,0.0
2024-03-31,0.53,$-0.26,0.0
2023-12-31,0.55,$-0.24,0.0
2023-09-30,0.57,$-0.33,0.0
2023-06-30,0.59,$-0.01,0.0
2023-03-31,0.54,$-0.01,0.0
2022-12-31,0.53,$0.12,4.37
2022-09-30,0.58,$0.08,6.92
2022-06-30,0.66,$-0.17,0.0
2022-03-31,0.77,$-0.22,0.0
2021-12-31,0.81,$-0.27,0.0
2021-09-30,1.13,$-0.26,0.0
2021-06-30,1.18,$-0.23,0.0
2021-03-31,1.28,$-0.20,0.0
2020-12-31,1.01,$-0.20,0.0
2020-09-30,0.68,$-0.17,0.0
2020-06-30,0.67,$-0.13,0.0
2020-03-31,0.7,$-0.09,0.0
2019-12-31,0.82,$-0.07,0.0
2019-09-30,0.99,$-0.08,0.0
2019-06-30,1.03,$-0.10,0.0
2019-03-31,1.3,$-0.10,0.0
2018-12-31,1.44,$-0.12,0.0
2018-09-30,1.46,$-0.15,0.0
2018-06-30,1.46,$-0.11,0.0
2018-03-31,1.46,$-0.20,0.0
2017-12-31,1.46,$-0.17,0.0
2017-09-30,1.34,$-0.13,0.0
2017-06-30,1.39,$-0.12,0.0
2017-03-31,1.36,$0.07,19.8
2016-12-31,1.05,$0.13,7.84
2016-09-30,1.02,$0.12,8.68
2016-06-30,0.58,$0.35,1.62
2016-03-31,0.84,$0.25,3.37
2015-12-31,0.99,$0.31,3.17
2015-09-30,1.22,$0.24,4.98
2015-06-30,1.16,$0.53,2.2
2015-03-31,1.32,$0.16,8.04
2014-12-31,1.05,$0.11,9.92
2014-09-30,1.27,$-0.22,0.0
2014-06-30,1.14,$-0.49,0.0
2014-03-31,1.34,$-0.30,0.0
2013-12-31,1.22,$-0.09,0.0
2013-09-30,1.21,$0.55,2.22
2013-06-30,1.07,$0.80,1.35
2013-03-31,1.06,$0.80,1.33
2012-12-31,1.11,$0.59,1.89
2012-09-30,1.31,$0.74,1.78
2012-06-30,1.32,$0.60,2.2
2012-03-31,1.29,$0.10,13.59
2011-12-31,1.02,$0.77,1.33
2011-09-30,0.98,$0.94,1.04
2011-06-30,1.3,$0.43,3.05
2011-03-31,1.56,$0.94,1.66
2010-12-31,1.27,$0.38,3.33
2010-09-30,1.45,$0.21,6.88
2010-06-30,1.09,$0.48,2.27
2010-03-31,1.4,$0.77,1.82
2009-12-31,1.04,$0.42,2.46
