Income Opportunity Realty Investors Price to Free Cash Flow Ratio Historical Data,Income Opportunity Realty Investors Price to Free Cash Flow Ratio Historical Data,Income Opportunity Realty Investors Price to Free Cash Flow Ratio Historical Data,Income Opportunity Realty Investors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-18,17.35,,42.44
2024-09-30,17.48,$0.41,42.76
2024-06-30,16.25,$0.36,44.61
2024-03-31,16.74,$0.37,45.46
2023-12-31,13.4,$0.23,57.31
2023-09-30,11.15,$0.00,0.0
2023-06-30,11.48,$0.00,0.0
2023-03-31,11.38,$0.00,0.0
2022-12-31,12.01,$0.00,0.0
2022-09-30,12.5,$-0.00,0.0
2022-06-30,12.84,$-0.00,0.0
2022-03-31,12.44,$0.00,0.0
2021-12-31,11.95,$-0.72,0.0
2021-09-30,11.14,$-1.50,0.0
2021-06-30,12.82,$-1.22,0.0
2021-03-31,11.14,$-1.02,0.0
2020-12-31,11.34,$0.00,0.0
2020-09-30,11.84,$-0.06,0.0
2020-06-30,11.11,$0.01,0.0
2020-03-31,10.29,$-0.03,0.0
2019-12-31,13.2,$0.00,0.0
2019-09-30,12.58,$0.94,13.41
2019-06-30,12.91,$5.78,2.23
2019-03-31,11.36,$5.86,1.94
2018-12-31,10.67,$5.80,1.84
2018-09-30,11.78,$3.35,3.52
2018-06-30,13.35,$0.37,36.14
2018-03-31,11.7,$0.59,19.88
2017-12-31,11.08,$0.67,16.59
2017-09-30,9.05,$2.79,3.25
2017-06-30,9.4,$0.95,9.94
2017-03-31,8.75,$0.53,16.47
2016-12-31,7.3,$0.83,8.81
2016-09-30,7.5,$0.34,22.07
2016-06-30,7.1,$0.30,23.62
2016-03-31,7.56,$0.25,29.73
2015-12-31,7.48,$0.07,113.84
2015-09-30,8.25,$0.25,33.07
2015-06-30,7.45,$0.24,31.46
2015-03-31,6.48,$0.18,35.18
2014-12-31,5.7,$0.81,7.04
2014-09-30,5.95,$1.77,3.36
2014-06-30,6.31,$1.24,5.09
2014-03-31,6.08,$1.16,5.24
2013-12-31,4.99,$0.28,17.94
2013-09-30,5.19,$-0.34,0.0
2013-06-30,3.76,$-0.01,0.0
2013-03-31,3.49,$0.38,9.2
2012-12-31,3.5,$0.81,4.31
2012-09-30,3.45,$1.00,3.44
2012-06-30,1.78,$1.68,1.06
2012-03-31,1.45,$1.21,1.2
2011-12-31,1.39,$0.96,1.45
2011-09-30,2.13,$1.11,1.91
2011-06-30,2.83,$0.31,9.09
2011-03-31,3.3,$0.47,6.95
2010-12-31,4.15,$0.04,108.92
2010-09-30,4.63,$2.38,1.95
2010-06-30,5.6,$4.10,1.37
2010-03-31,5.95,$4.17,1.43
2009-12-31,8.4,$3.64,2.31
