Enbridge Inc Price to Free Cash Flow Ratio Historical Data,Enbridge Inc Price to Free Cash Flow Ratio Historical Data,Enbridge Inc Price to Free Cash Flow Ratio Historical Data,Enbridge Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.23,,22.21
2024-12-31,42.43,$1.99,21.3
2024-09-30,39.75,$2.46,16.18
2024-06-30,34.24,$2.70,12.7
2024-03-31,34.19,$3.12,10.95
2023-12-31,33.36,$3.44,9.71
2023-09-30,30.15,$3.41,8.84
2023-06-30,33.14,$3.07,10.8
2023-03-31,33.46,$2.76,12.14
2022-12-31,33.73,$2.50,13.52
2022-09-30,31.5,$2.10,14.97
2022-06-30,35.34,$1.82,19.41
2022-03-31,37.95,$1.56,24.4
2021-12-31,31.66,$1.06,29.75
2021-09-30,31.72,$0.86,37.08
2021-06-30,31.38,$1.18,26.52
2021-03-31,28.03,$1.35,20.82
2020-12-31,24.18,$1.71,14.1
2020-09-30,21.61,$2.43,8.9
2020-06-30,22.1,$2.66,8.31
2020-03-31,20.74,$2.65,7.84
2019-12-31,27.95,$2.24,12.46
2019-09-30,24.3,$2.56,9.51
2019-06-30,24.58,$2.83,8.68
2019-03-31,24.33,$3.12,7.8
2018-12-31,20.54,$3.64,5.64
2018-09-30,21.01,$2.05,10.26
2018-06-30,22.89,$0.86,26.62
2018-03-31,19.87,$-0.02,0.0
2017-12-31,24.31,$-0.54,0.0
2017-09-30,25.66,$0.83,30.89
2017-06-30,24.12,$1.08,22.35
2017-03-31,25.07,$1.23,20.37
2016-12-31,24.98,$1.20,20.77
2016-09-30,25.99,$-0.91,0.0
2016-06-30,24.65,$-1.43,0.0
2016-03-31,22.41,$-2.07,0.0
2015-12-31,18.88,$-2.33,0.0
2015-09-30,20.93,$-3.87,0.0
2015-06-30,26.15,$-4.89,0.0
2015-03-31,26.9,$-6.34,0.0
2014-12-31,28.3,$-8.51,0.0
2014-09-30,26.18,$-8.46,0.0
2014-06-30,25.79,$-8.45,0.0
2014-03-31,24.56,$-7.18,0.0
2013-12-31,23.39,$-5.76,0.0
2013-09-30,22.2,$-4.97,0.0
2013-06-30,22.22,$-4.31,0.0
2013-03-31,24.41,$-3.79,0.0
2012-12-31,22.56,$-3.26,0.0
2012-09-30,20.18,$-2.22,0.0
2012-06-30,20.49,$-1.28,0.0
2012-03-31,19.81,$-0.79,0.0
2011-12-31,18.93,$0.25,76.53
2011-09-30,16.05,$0.59,27.33
2011-06-30,16.19,$-0.01,0.0
2011-03-31,15.2,$-0.23,0.0
2010-12-31,13.83,$-0.62,0.0
2010-09-30,12.73,$-1.07,0.0
2010-06-30,11.24,$-1.32,0.0
2010-03-31,11.42,$-1.06,0.0
2009-12-31,10.96,$-1.33,0.0
