ComScore Price to Free Cash Flow Ratio Historical Data,ComScore Price to Free Cash Flow Ratio Historical Data,ComScore Price to Free Cash Flow Ratio Historical Data,ComScore Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.26,,0.0
2024-12-31,5.84,$-1.19,0.0
2024-09-30,6.79,$0.36,18.81
2024-06-30,14.19,$0.88,16.04
2024-03-31,15.4,$0.92,16.67
2023-12-31,16.7,$1.07,15.63
2023-09-30,12.28,$1.24,9.86
2023-06-30,16.2,$1.12,14.5
2023-03-31,24.6,$2.12,11.62
2022-12-31,23.2,$3.69,6.28
2022-09-30,33.0,$6.70,4.93
2022-06-30,41.2,$1.28,32.24
2022-03-31,58.2,$-3.26,0.0
2021-12-31,66.8,$-1.41,0.0
2021-09-30,78.0,$-3.50,0.0
2021-06-30,100.0,$-0.66,0.0
2021-03-31,73.2,$2.04,35.88
2020-12-31,49.8,$-4.17,0.0
2020-09-30,40.8,$-5.13,0.0
2020-06-30,62.0,$-2.68,0.0
2020-03-31,56.4,$-6.24,0.0
2019-12-31,98.8,$-5.94,0.0
2019-09-30,38.2,$-5.82,0.0
2019-06-30,103.2,$-6.64,0.0
2019-03-31,405.0,$-14.93,0.0
2018-12-31,288.6,$-29.94,0.0
2018-09-30,364.6,$-39.61,0.0
2018-06-30,436.0,$-43.34,0.0
2018-03-31,457.2,$-38.62,0.0
2017-12-31,457.2,$-23.17,0.0
2017-09-30,457.2,$-15.79,0.0
2017-06-30,457.2,$-19.99,0.0
2017-03-31,457.2,$-23.81,0.0
2016-12-31,631.6,$-22.62,0.0
2016-09-30,613.2,$-12.45,0.0
2016-06-30,477.6,$-1.69,0.0
2016-03-31,600.8,$12.86,46.73
2015-12-31,823.0,$29.06,28.32
2015-09-30,923.0,$26.09,35.38
2015-06-30,1065.2,$29.78,35.77
2015-03-31,1024.0,$30.15,33.96
2014-12-31,928.6,$24.84,37.38
2014-09-30,728.2,$23.95,30.41
2014-06-30,709.6,$17.11,41.48
2014-03-31,655.8,$23.68,27.7
2013-12-31,572.2,$23.21,24.65
2013-09-30,579.4,$26.03,22.26
2013-06-30,487.8,$29.78,16.38
2013-03-31,335.6,$25.79,13.01
2012-12-31,275.6,$22.43,12.29
2012-09-30,305.0,$21.00,14.52
2012-06-30,329.2,$15.16,21.71
2012-03-31,427.8,$10.05,42.55
2011-12-31,424.0,$12.09,35.08
2011-09-30,337.4,$7.19,46.9
2011-06-30,518.0,$11.40,45.46
2011-03-31,590.0,$13.32,44.31
2010-12-31,446.8,$13.06,34.21
2010-09-30,470.4,$17.04,27.6
2010-06-30,329.4,$18.50,17.8
2010-03-31,333.8,$20.67,16.15
2009-12-31,351.0,$11.98,29.29
