Advent Technologies Holdings Price to Free Cash Flow Ratio Historical Data,Advent Technologies Holdings Price to Free Cash Flow Ratio Historical Data,Advent Technologies Holdings Price to Free Cash Flow Ratio Historical Data,Advent Technologies Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.34,,2.25
2024-09-30,2.16,$2.37,0.91
2024-06-30,3.05,$-8.17,0.0
2024-03-31,0.18,$-11.81,0.0
2023-12-31,0.22,$-18.38,0.0
2023-09-30,0.39,$-24.13,0.0
2023-06-30,0.59,$-18.66,0.0
2023-03-31,1.06,$-21.24,0.0
2022-12-31,1.81,$-25.41,0.0
2022-09-30,3.06,$-29.82,0.0
2022-06-30,2.52,$-33.56,0.0
2022-03-31,2.32,$-28.93,0.0
2021-12-31,7.01,$-26.05,0.0
2021-09-30,8.7,$-17.79,0.0
2021-06-30,9.64,$-12.24,0.0
2021-03-31,13.39,$-10.50,0.0
2020-12-31,14.93,$-2.26,0.0
2020-09-30,10.34,$-1.32,0.0
2020-06-30,10.22,$-1.28,0.0
2020-03-31,10.16,$-2.40,0.0
2019-12-31,10.12,$-2.32,0.0
