Enviri Price to Free Cash Flow Ratio Historical Data,Enviri Price to Free Cash Flow Ratio Historical Data,Enviri Price to Free Cash Flow Ratio Historical Data,Enviri Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.76,,0.0
2024-12-31,7.7,$-0.52,0.0
2024-09-30,10.34,$-0.25,0.0
2024-06-30,8.63,$0.08,103.98
2024-03-31,9.15,$-0.68,0.0
2023-12-31,9.0,$-0.22,0.0
2023-09-30,7.22,$-0.74,0.0
2023-06-30,9.87,$-0.94,0.0
2023-03-31,6.83,$1.27,5.37
2022-12-31,6.29,$0.30,20.72
2022-09-30,3.74,$0.20,18.78
2022-06-30,7.11,$0.48,14.81
2022-03-31,12.24,$-1.05,0.0
2021-12-31,16.71,$-0.86,0.0
2021-09-30,16.95,$-0.94,0.0
2021-06-30,20.42,$-0.99,0.0
2021-03-31,17.15,$-0.88,0.0
2020-12-31,17.98,$-0.76,0.0
2020-09-30,13.91,$-1.37,0.0
2020-06-30,13.51,$-1.35,0.0
2020-03-31,6.97,$-2.29,0.0
2019-12-31,23.01,$-2.07,0.0
2019-09-30,18.96,$-0.40,0.0
2019-06-30,27.44,$-0.10,0.0
2019-03-31,20.16,$1.02,19.68
2018-12-31,19.86,$0.86,23.14
2018-09-30,28.55,$1.07,26.71
2018-06-30,22.1,$0.99,22.34
2018-03-31,20.65,$0.99,20.76
2017-12-31,18.65,$1.14,16.33
2017-09-30,20.9,$0.70,30.02
2017-06-30,16.1,$1.30,12.42
2017-03-31,12.75,$1.19,10.74
2016-12-31,13.6,$1.24,10.94
2016-09-30,9.93,$0.85,11.75
2016-06-30,6.64,$0.38,17.51
2016-03-31,5.45,$0.27,20.43
2015-12-31,7.82,$0.30,25.97
2015-09-30,8.81,$-0.12,0.0
2015-06-30,15.83,$0.36,43.86
2015-03-31,16.35,$0.33,49.14
2014-12-31,17.67,$0.41,43.52
2014-09-30,19.82,$0.28,70.27
2014-06-30,24.46,$0.11,222.73
2014-03-31,21.32,$-0.10,0.0
2013-12-31,25.31,$-0.48,0.0
2013-09-30,22.3,$0.02,1274.5
2013-06-30,20.6,$-0.37,0.0
2013-03-31,21.82,$-0.30,0.0
2012-12-31,20.53,$-0.20,0.0
2012-09-30,17.76,$0.29,61.43
2012-06-30,17.45,$0.73,23.77
2012-03-31,19.91,$0.54,36.59
2011-12-31,17.29,$0.35,49.27
2011-09-30,16.14,$1.16,13.9
2011-06-30,26.96,$1.21,22.23
2011-03-31,29.02,$2.17,13.37
2010-12-31,23.14,$2.87,8.06
2010-09-30,19.92,$2.86,6.97
2010-06-30,18.89,$3.15,6.0
2010-03-31,25.51,$3.36,7.59
2009-12-31,25.59,$3.37,7.6
