Thryv Holdings Price to Free Cash Flow Ratio Historical Data,Thryv Holdings Price to Free Cash Flow Ratio Historical Data,Thryv Holdings Price to Free Cash Flow Ratio Historical Data,Thryv Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.07,,9.95
2024-12-31,14.8,$1.51,9.77
2024-09-30,17.23,$2.06,8.36
2024-06-30,17.82,$2.42,7.35
2024-03-31,22.23,$2.52,8.81
2023-12-31,20.35,$3.31,6.15
2023-09-30,18.77,$3.22,5.84
2023-06-30,24.6,$3.15,7.82
2023-03-31,23.06,$3.34,6.91
2022-12-31,19.0,$3.27,5.81
2022-09-30,22.83,$3.80,6.01
2022-06-30,22.39,$3.59,6.23
2022-03-31,28.12,$4.48,6.27
2021-12-31,41.13,$4.13,9.97
2021-09-30,30.04,$8.81,3.41
