Halliburton Price to Free Cash Flow Ratio Historical Data,Halliburton Price to Free Cash Flow Ratio Historical Data,Halliburton Price to Free Cash Flow Ratio Historical Data,Halliburton Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.99,,8.34
2024-12-31,27.19,$3.00,9.07
2024-09-30,28.89,$2.94,9.84
2024-06-30,33.4,$2.88,11.59
2024-03-31,38.98,$2.87,13.59
2023-12-31,35.57,$2.52,14.11
2023-09-30,39.67,$2.28,17.41
2023-06-30,32.19,$2.31,13.94
2023-03-31,30.71,$1.66,18.47
2022-12-31,38.03,$1.58,24.13
2022-09-30,23.71,$1.17,20.27
2022-06-30,30.08,$1.10,27.45
2022-03-31,36.22,$1.16,31.34
2021-12-31,21.79,$1.53,14.2
2021-09-30,20.56,$1.57,13.07
2021-06-30,21.94,$1.43,15.29
2021-03-31,20.32,$1.72,11.83
2020-12-31,17.86,$1.63,10.94
2020-09-30,11.36,$2.06,5.53
2020-06-30,12.2,$2.34,5.22
2020-03-31,6.42,$1.86,3.46
2019-12-31,22.67,$1.26,17.95
2019-09-30,17.32,$0.68,25.59
2019-06-30,20.69,$0.47,43.6
2019-03-31,26.44,$0.90,29.31
2018-12-31,23.99,$1.54,15.6
2018-09-30,36.36,$1.84,19.77
2018-06-30,40.24,$2.29,17.56
2018-03-31,41.76,$1.83,22.86
2017-12-31,43.31,$1.44,30.07
2017-09-30,40.62,$1.80,22.62
2017-06-30,37.52,$1.97,19.02
2017-03-31,43.06,$-2.49,0.0
2016-12-31,47.17,$-2.65,0.0
2016-09-30,39.01,$-3.15,0.0
2016-06-30,39.2,$-4.77,0.0
2016-03-31,30.79,$0.44,70.13
2015-12-31,29.18,$1.04,27.96
2015-09-30,30.17,$1.05,28.75
2015-06-30,36.59,$1.49,24.55
2015-03-31,37.13,$1.14,32.65
2014-12-31,33.14,$1.31,25.28
2014-09-30,54.12,$2.15,25.16
2014-06-30,59.44,$2.69,22.13
2014-03-31,49.18,$2.67,18.42
2013-12-31,42.27,$1.94,21.74
2013-09-30,39.98,$1.70,23.49
2013-06-30,34.55,$1.16,29.83
2013-03-31,33.37,$0.21,157.86
2012-12-31,28.56,$0.52,54.87
2012-09-30,27.66,$0.10,286.93
2012-06-30,23.24,$0.45,51.98
2012-03-31,27.09,$1.07,25.42
2011-12-31,28.1,$0.97,29.07
2011-09-30,24.79,$0.68,36.49
2011-06-30,41.34,$0.42,98.47
2011-03-31,40.32,$0.35,115.01
2010-12-31,32.97,$0.41,81.19
2010-09-30,26.64,$0.28,94.95
2010-06-30,19.72,$0.47,41.63
2010-03-31,24.12,$0.66,36.68
2009-12-31,24.01,$0.60,39.96
