Corbus Pharmaceuticals Holdings Price to Free Cash Flow Ratio Historical Data,Corbus Pharmaceuticals Holdings Price to Free Cash Flow Ratio Historical Data,Corbus Pharmaceuticals Holdings Price to Free Cash Flow Ratio Historical Data,Corbus Pharmaceuticals Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.0,,0.0
2024-12-31,11.8,$-3.83,0.0
2024-09-30,20.63,$-4.11,0.0
2024-06-30,45.25,$-4.51,0.0
2024-03-31,39.24,$-5.69,0.0
2023-12-31,6.04,$-8.34,0.0
2023-09-30,6.74,$-8.59,0.0
2023-06-30,7.84,$-8.88,0.0
2023-03-31,7.27,$-10.07,0.0
2022-12-31,3.32,$-9.00,0.0
2022-09-30,4.95,$-9.76,0.0
2022-06-30,7.57,$-7.10,0.0
2022-03-31,15.95,$-8.69,0.0
2021-12-31,18.47,$-11.77,0.0
2021-09-30,30.6,$-17.65,0.0
2021-06-30,54.9,$-26.42,0.0
2021-03-31,59.1,$-31.96,0.0
2020-12-31,37.5,$-38.50,0.0
2020-09-30,54.0,$-41.42,0.0
2020-06-30,251.7,$-42.23,0.0
2020-03-31,157.2,$-39.93,0.0
2019-12-31,163.8,$-22.78,0.0
2019-09-30,146.1,$-19.01,0.0
2019-06-30,207.9,$-15.05,0.0
2019-03-31,208.5,$-10.54,0.0
2018-12-31,175.2,$-17.05,0.0
2018-09-30,226.5,$-15.29,0.0
2018-06-30,151.5,$-14.40,0.0
2018-03-31,183.0,$-14.27,0.0
2017-12-31,213.0,$-17.06,0.0
2017-09-30,214.5,$-15.69,0.0
2017-06-30,189.0,$-13.55,0.0
2017-03-31,247.5,$-12.43,0.0
2016-12-31,253.5,$-10.16,0.0
2016-09-30,203.7,$-7.01,0.0
2016-06-30,89.7,$-7.17,0.0
2016-03-31,54.3,$-5.11,0.0
2015-12-31,49.5,$-4.54,0.0
2015-09-30,47.1,$-6.86,0.0
