American Financial Price to Free Cash Flow Ratio Historical Data,American Financial Price to Free Cash Flow Ratio Historical Data,American Financial Price to Free Cash Flow Ratio Historical Data,American Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,125.19,,10.01
2024-12-31,136.93,$12.50,10.95
2024-09-30,130.03,$13.34,9.75
2024-06-30,118.18,$16.38,7.22
2024-03-31,130.39,$18.66,6.99
2023-12-31,110.67,$22.42,4.94
2023-09-30,101.87,$15.02,6.78
2023-06-30,107.75,$12.96,8.31
2023-03-31,109.68,$11.82,9.28
2022-12-31,119.73,$12.87,9.3
2022-09-30,105.19,$15.17,6.93
2022-06-30,118.27,$14.42,8.2
2022-03-31,116.53,$18.38,6.34
2021-12-31,107.86,$19.84,5.44
2021-09-30,94.29,$21.47,4.39
2021-06-30,88.9,$23.00,3.87
2021-03-31,72.51,$25.14,2.88
2020-12-31,55.37,$23.86,2.32
2020-09-30,41.07,$27.10,1.52
2020-06-30,38.62,$29.01,1.33
2020-03-31,42.4,$27.45,1.54
2019-12-31,66.07,$26.55,2.49
2019-09-30,63.64,$26.92,2.36
2019-06-30,60.24,$22.98,2.62
2019-03-31,55.49,$22.98,2.42
2018-12-31,51.99,$22.14,2.35
2018-09-30,62.57,$21.82,2.87
2018-06-30,60.32,$21.44,2.81
2018-03-31,62.03,$24.26,2.56
2017-12-31,59.8,$19.49,3.07
2017-09-30,55.72,$15.66,3.56
2017-06-30,53.35,$13.91,3.84
2017-03-31,50.29,$7.89,6.37
2016-12-31,46.28,$13.06,3.54
2016-09-30,38.75,$13.32,2.91
2016-06-30,38.05,$14.00,2.72
2016-03-31,36.07,$15.28,2.36
2015-12-31,36.79,$15.30,2.4
2015-09-30,34.55,$16.51,2.09
2015-06-30,32.49,$15.01,2.16
2015-03-31,31.92,$15.57,2.05
2014-12-31,30.09,$13.16,2.29
2014-09-30,28.09,$11.51,2.44
2014-06-30,28.8,$11.67,2.47
2014-03-31,27.79,$9.88,2.81
2013-12-31,27.69,$8.14,3.4
2013-09-30,25.37,$7.11,3.57
2013-06-30,22.87,$7.77,2.94
2013-03-31,22.06,$8.50,2.59
2012-12-31,18.32,$7.82,2.34
2012-09-30,17.37,$4.42,3.93
2012-06-30,17.89,$2.87,6.23
2012-03-31,17.51,$1.86,9.42
2011-12-31,16.67,$5.68,2.94
2011-09-30,13.96,$6.35,2.2
2011-06-30,15.97,$8.11,1.97
2011-03-31,15.59,$7.51,2.08
2010-12-31,14.31,$7.19,1.99
2010-09-30,13.48,$7.82,1.72
2010-06-30,11.99,$6.91,1.73
2010-03-31,12.42,$6.93,1.79
2009-12-31,10.84,$7.31,1.48
