SFL Price to Free Cash Flow Ratio Historical Data,SFL Price to Free Cash Flow Ratio Historical Data,SFL Price to Free Cash Flow Ratio Historical Data,SFL Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.49,,0.0
2024-12-31,10.22,$-1.94,0.0
2024-09-30,11.27,$-1.65,0.0
2024-06-30,13.19,$0.18,74.8
2024-03-31,12.29,$0.94,13.04
2023-12-31,10.31,$1.86,5.56
2023-09-30,9.97,$0.88,11.28
2023-06-30,8.16,$-0.05,0.0
2023-03-31,8.1,$0.37,22.11
2022-12-31,7.66,$-1.19,0.0
2022-09-30,7.39,$0.06,114.63
2022-06-30,7.54,$-1.17,0.0
2022-03-31,7.91,$-1.91,0.0
2021-12-31,6.21,$-0.75,0.0
2021-09-30,6.24,$0.49,12.81
2021-06-30,5.59,$3.58,1.56
2021-03-31,5.76,$2.07,2.78
2020-09-30,5.17,$2.28,2.27
2020-06-30,6.24,$1.08,5.77
2019-09-30,8.71,$-2.91,0.0
2019-06-30,7.58,$-2.62,0.0
2019-03-31,7.26,$-7.55,0.0
2018-12-31,6.02,$-7.35,0.0
2018-09-30,7.72,$-4.13,0.0
2018-06-30,8.1,$-3.64,0.0
2018-03-31,7.57,$1.68,4.5
2017-12-31,8.01,$1.66,4.82
2017-09-30,7.32,$-0.22,0.0
2017-06-30,6.7,$2.79,2.4
2017-03-31,7.0,$1.66,4.23
2016-12-31,6.86,$0.66,10.43
2016-09-30,6.6,$2.95,2.24
2016-06-30,6.41,$-1.85,0.0
2016-03-31,5.87,$-1.82,0.0
2015-12-31,6.78,$-1.65,0.0
2015-09-30,6.47,$-1.75,0.0
2015-06-30,6.32,$-0.22,0.0
2015-03-31,5.59,$-0.70,0.0
2014-12-31,5.19,$-0.54,0.0
2014-09-30,6.03,$-0.82,0.0
2014-06-30,6.49,$-0.28,0.0
2014-03-31,6.14,$0.31,19.89
2013-12-31,5.47,$1.20,4.56
2013-09-30,4.98,$0.63,7.9
2013-06-30,4.72,$0.86,5.46
2013-03-31,5.47,$0.94,5.85
2012-12-31,5.16,$0.23,22.43
2012-09-30,4.76,$1.71,2.79
2012-06-30,4.63,$1.41,3.29
2012-03-31,4.42,$1.39,3.18
2011-12-31,2.64,$0.17,15.79
2011-09-30,3.54,$-2.16,0.0
2011-06-30,4.78,$-1.81,0.0
2011-03-31,5.38,$-2.18,0.0
2010-12-31,5.48,$0.02,221.1
2010-09-30,4.87,$0.76,6.38
2010-06-30,4.4,$2.74,1.61
2010-03-31,4.29,$3.06,1.4
2009-12-31,3.24,$2.78,1.17
