Energy Vault Holdings Price to Free Cash Flow Ratio Historical Data,Energy Vault Holdings Price to Free Cash Flow Ratio Historical Data,Energy Vault Holdings Price to Free Cash Flow Ratio Historical Data,Energy Vault Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.91,,0.0
2024-09-30,0.96,$-0.37,0.0
2024-06-30,0.95,$-0.35,0.0
2024-03-31,1.79,$-0.37,0.0
2023-12-31,2.33,$-0.90,0.0
2023-09-30,2.55,$-0.86,0.0
2023-06-30,2.73,$-0.78,0.0
2023-03-31,2.14,$-0.59,0.0
2022-12-31,3.12,$-0.21,0.0
2022-09-30,5.28,$-1.04,0.0
2022-06-30,10.02,$-1.27,0.0
2022-03-31,15.9,$-1.40,0.0
2021-12-31,9.9,$-1.74,0.0
