IGM Biosciences Price to Free Cash Flow Ratio Historical Data,IGM Biosciences Price to Free Cash Flow Ratio Historical Data,IGM Biosciences Price to Free Cash Flow Ratio Historical Data,IGM Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.2,,0.0
2024-12-31,6.11,$-2.62,0.0
2024-09-30,16.54,$-3.34,0.0
2024-06-30,6.87,$-2.81,0.0
2024-03-31,9.65,$-3.42,0.0
2023-12-31,8.31,$-3.91,0.0
2023-09-30,8.35,$-3.55,0.0
2023-06-30,9.23,$-4.41,0.0
2023-03-31,13.74,$-0.38,0.0
2022-12-31,17.01,$-0.39,0.0
2022-09-30,22.74,$-0.55,0.0
2022-06-30,18.03,$-0.66,0.0
2022-03-31,26.73,$-4.34,0.0
2021-12-31,29.33,$-4.13,0.0
2021-09-30,65.76,$-4.00,0.0
2021-06-30,83.2,$-3.61,0.0
2021-03-31,76.69,$-3.21,0.0
2020-12-31,88.29,$-2.78,0.0
2020-09-30,73.81,$1.16,63.73
2020-06-30,73.0,$-6.38,0.0
