Cineverse Price to Free Cash Flow Ratio Historical Data,Cineverse Price to Free Cash Flow Ratio Historical Data,Cineverse Price to Free Cash Flow Ratio Historical Data,Cineverse Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.43,,51.66
2024-12-31,3.65,$0.07,54.97
2024-09-30,0.98,$-0.61,0.0
2024-06-30,0.89,$-0.73,0.0
2024-03-31,1.39,$-0.95,0.0
2023-12-31,1.35,$-0.98,0.0
2023-09-30,1.17,$-0.93,0.0
2023-06-30,1.91,$-1.34,0.0
2023-03-31,8.4,$-1.13,0.0
2022-12-31,7.75,$-0.92,0.0
2022-09-30,7.9,$-1.32,0.0
2022-06-30,9.84,$-0.05,0.0
2022-03-31,16.27,$0.53,30.99
2021-12-31,23.2,$-0.14,0.0
2021-09-30,50.2,$0.21,240.88
2021-06-30,25.8,$-1.90,0.0
2021-03-31,33.4,$-3.13,0.0
2020-12-31,12.9,$-1.85,0.0
2020-09-30,11.3,$-1.10,0.0
2020-06-30,38.2,$0.19,196.2
2020-03-31,7.3,$2.97,2.46
2019-12-31,14.0,$4.67,3.0
2019-09-30,17.8,$6.56,2.71
2019-06-30,27.0,$4.34,6.22
2019-03-31,38.0,$5.10,7.45
2018-12-31,11.4,$12.12,0.94
2018-09-30,23.2,$-12.84,0.0
2018-06-30,31.0,$13.25,2.34
2018-03-31,27.4,$18.59,1.47
2017-12-31,30.0,$28.83,1.04
2017-09-30,29.0,$71.75,0.4
2017-06-30,34.8,$65.70,0.53
2017-03-31,31.0,$77.57,0.4
2016-12-31,28.8,$89.63,0.32
2016-09-30,40.6,$100.90,0.4
2016-06-30,24.2,$89.99,0.27
2016-03-31,41.44,$74.59,0.56
2015-12-31,52.22,$36.02,1.45
2015-09-30,112.0,$26.19,4.28
2015-06-30,140.98,$18.00,7.83
2015-03-31,324.0,$17.67,18.33
2014-12-31,324.0,$83.14,3.9
2014-09-30,310.0,$71.88,4.31
2014-06-30,498.0,$94.24,5.28
2014-03-31,512.0,$126.46,4.05
2013-12-31,404.0,$79.58,5.08
2013-09-30,300.0,$99.02,3.03
2013-06-30,284.0,$123.37,2.3
2013-03-31,312.0,$83.34,3.74
2012-12-31,280.0,$130.12,2.15
2012-09-30,270.0,$139.26,1.94
2012-06-30,300.0,$92.42,3.25
2012-03-31,338.0,$118.02,2.86
2011-12-31,274.0,$86.62,3.16
2011-09-30,238.0,$-97.46,0.0
2011-06-30,338.0,$-63.77,0.0
2011-03-31,354.0,$-85.88,0.0
2010-12-31,336.0,$-98.60,0.0
2010-09-30,262.0,$39.24,6.68
2010-06-30,260.02,$-9.42,0.0
2010-03-31,330.0,$-35.77,0.0
2009-12-31,246.0,$27.30,9.01
