Mondelez Price to Free Cash Flow Ratio Historical Data,Mondelez Price to Free Cash Flow Ratio Historical Data,Mondelez Price to Free Cash Flow Ratio Historical Data,Mondelez Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,63.95,,24.34
2024-12-31,59.73,$2.63,22.73
2024-09-30,73.67,$2.75,26.81
2024-06-30,65.03,$2.60,25.02
2024-03-31,69.11,$2.74,25.27
2023-12-31,71.08,$2.64,26.89
2023-09-30,67.7,$2.13,31.75
2023-06-30,70.72,$2.22,31.88
2023-03-31,67.24,$2.12,31.71
2022-12-31,63.93,$2.20,29.06
2022-09-30,52.29,$1.67,31.32
2022-06-30,58.82,$2.56,22.96
2022-03-31,59.14,$2.64,22.38
2021-12-31,62.11,$2.40,25.89
2021-09-30,54.21,$2.59,20.92
2021-06-30,57.84,$2.36,24.49
2021-03-31,53.94,$2.49,21.71
2020-12-31,53.6,$2.16,24.83
2020-09-30,52.38,$3.32,15.79
2020-06-30,46.36,$2.52,18.42
2020-03-31,45.15,$2.18,20.7
2019-12-31,49.39,$2.14,23.06
2019-09-30,49.35,$2.30,21.42
2019-06-30,47.83,$2.14,22.39
2019-03-31,44.09,$2.24,19.71
2018-12-31,35.17,$2.19,16.07
2018-09-30,37.5,$1.82,20.6
2018-06-30,35.57,$1.68,21.21
2018-03-31,36.01,$1.74,20.75
2017-12-31,36.74,$1.10,33.32
2017-09-30,34.72,$1.00,34.82
2017-06-30,36.68,$1.10,33.5
2017-03-31,36.43,$1.05,34.55
2016-12-31,37.33,$1.11,33.51
2016-09-30,36.81,$1.44,25.52
2016-06-30,37.99,$1.42,26.84
2016-03-31,33.36,$1.34,24.93
2015-12-31,37.13,$1.39,26.73
2015-09-30,34.5,$1.26,27.32
2015-06-30,33.8,$1.19,28.47
2015-03-31,29.54,$1.21,24.36
2014-12-31,29.61,$1.13,26.26
2014-09-30,27.82,$2.69,10.34
2014-06-30,30.4,$2.65,11.49
2014-03-31,27.82,$2.58,10.78
2013-12-31,28.31,$2.76,10.27
2013-09-30,25.1,$0.93,26.9
2013-06-30,22.69,$1.02,22.2
2013-03-31,24.24,$1.69,14.36
2012-12-31,20.07,$1.37,14.68
2012-09-30,21.27,$1.86,11.43
2012-06-30,19.72,$2.02,9.78
2012-03-31,19.26,$1.60,12.02
2011-12-31,18.79,$1.57,11.97
2011-09-30,16.76,$1.31,12.84
2011-06-30,17.43,$0.91,19.18
2011-03-31,15.39,$0.65,23.85
2010-12-31,15.32,$1.19,12.85
2010-09-30,14.87,$0.99,15.04
2010-06-30,13.37,$1.82,7.35
2010-03-31,14.29,$2.26,6.32
2009-12-31,12.73,$2.56,4.97
