Endeavors Price to Free Cash Flow Ratio Historical Data,Endeavors Price to Free Cash Flow Ratio Historical Data,Endeavors Price to Free Cash Flow Ratio Historical Data,Endeavors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.83,,40.05
2024-12-31,31.29,$0.72,43.47
2024-09-30,28.56,$1.21,23.61
2024-06-30,27.03,$0.91,29.67
2024-03-31,25.73,$-0.51,0.0
2023-12-31,23.73,$0.26,91.55
2023-09-30,19.9,$0.50,39.51
2023-06-30,23.92,$1.08,22.07
2023-03-31,23.93,$1.57,15.24
2022-12-31,22.54,$1.24,18.11
2022-09-30,20.26,$1.68,12.08
2022-06-30,20.56,$1.83,11.23
2022-03-31,29.52,$0.80,37.1
