Dingdong (Cayman) Price to Free Cash Flow Ratio Historical Data,Dingdong (Cayman) Price to Free Cash Flow Ratio Historical Data,Dingdong (Cayman) Price to Free Cash Flow Ratio Historical Data,Dingdong (Cayman) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.83,,0.0
2024-09-30,3.55,$-0.19,0.0
2024-06-30,1.99,$-0.19,0.0
2024-03-31,1.22,$0.08,15.89
2023-12-31,1.5,$-0.19,0.0
2023-09-30,1.95,$0.24,8.07
2023-06-30,3.09,$-0.17,0.0
2023-03-31,3.86,$0.05,74.52
2022-12-31,4.27,$-0.02,0.0
2022-09-30,3.56,$-6.75,0.0
2022-06-30,5.53,$-7.25,0.0
2022-03-31,3.55,$-7.68,0.0
