American Public Education Price to Free Cash Flow Ratio Historical Data,American Public Education Price to Free Cash Flow Ratio Historical Data,American Public Education Price to Free Cash Flow Ratio Historical Data,American Public Education Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.63,,14.78
2024-12-31,21.57,$1.53,14.09
2024-09-30,14.75,$1.16,12.72
2024-06-30,17.58,$1.73,10.18
2024-03-31,14.2,$2.06,6.89
2023-12-31,9.65,$1.74,5.53
2023-09-30,4.98,$0.70,7.13
2023-06-30,4.74,$-0.12,0.0
2023-03-31,5.42,$-0.00,0.0
2022-12-31,12.29,$0.72,17.1
2022-09-30,9.14,$2.78,3.29
2022-06-30,16.16,$2.02,7.99
2022-03-31,21.24,$0.91,23.34
2021-12-31,22.25,$0.28,79.49
2021-09-30,25.61,$-0.31,0.0
2021-06-30,28.34,$1.08,26.17
2021-03-31,35.63,$2.65,13.43
2020-12-31,30.48,$2.70,11.28
2020-09-30,28.19,$2.92,9.65
2020-06-30,29.6,$2.60,11.4
2020-03-31,23.93,$2.17,11.01
2019-12-31,27.39,$1.91,14.31
2019-09-30,22.34,$2.60,8.59
2019-06-30,29.58,$2.37,12.46
2019-03-31,30.12,$1.95,15.45
2018-12-31,28.46,$2.09,13.62
2018-09-30,33.05,$1.85,17.87
2018-06-30,42.1,$2.22,18.95
2018-03-31,43.0,$2.43,17.72
2017-12-31,25.05,$2.12,11.84
2017-09-30,21.05,$1.94,10.85
2017-06-30,23.65,$2.00,11.83
2017-03-31,22.9,$1.66,13.82
2016-12-31,24.55,$2.50,9.84
2016-09-30,19.81,$2.49,7.97
2016-06-30,28.1,$2.61,10.77
2016-03-31,20.63,$2.78,7.41
2015-12-31,18.61,$1.85,10.08
2015-09-30,23.45,$1.63,14.36
2015-06-30,25.72,$1.92,13.39
2015-03-31,29.98,$1.74,17.19
2014-12-31,36.87,$2.08,17.75
2014-09-30,26.99,$1.81,14.88
2014-06-30,34.38,$1.58,21.79
2014-03-31,35.08,$1.79,19.61
2013-12-31,43.47,$2.16,20.1
2013-09-30,37.8,$2.85,13.28
2013-06-30,37.16,$2.12,17.56
2013-03-31,34.89,$1.35,25.78
2012-12-31,36.12,$0.99,36.39
2012-09-30,36.43,$0.97,37.42
2012-06-30,32.0,$1.67,19.22
2012-03-31,38.0,$2.06,18.48
2011-12-31,43.28,$2.49,17.4
2011-09-30,34.0,$2.16,15.75
2011-06-30,44.51,$1.83,24.35
2011-03-31,40.45,$1.64,24.65
2010-12-31,37.24,$1.31,28.49
2010-09-30,32.86,$1.57,20.87
2010-06-30,43.7,$1.45,30.2
2010-03-31,46.6,$1.69,27.6
2009-12-31,34.36,$1.38,24.99
