MicroCloud Hologram Price to Free Cash Flow Ratio Historical Data,MicroCloud Hologram Price to Free Cash Flow Ratio Historical Data,MicroCloud Hologram Price to Free Cash Flow Ratio Historical Data,MicroCloud Hologram Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.76,,0.0
2023-12-31,0.35,$-171.56,0.0
2023-03-31,2.22,$-217.41,0.0
2022-12-31,2.27,$-202.10,0.0
2022-09-30,8.41,$125.05,0.07
2022-06-30,10.11,$-6.08,0.0
