Main Street Capital Price to Free Cash Flow Ratio Historical Data,Main Street Capital Price to Free Cash Flow Ratio Historical Data,Main Street Capital Price to Free Cash Flow Ratio Historical Data,Main Street Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,57.78,,0.0
2024-12-31,58.58,$-1.00,0.0
2024-09-30,49.45,$-0.76,0.0
2024-06-30,48.77,$-0.64,0.0
2024-03-31,44.98,$1.85,24.38
2023-12-31,40.19,$3.48,11.54
2023-09-30,36.88,$1.70,21.68
2023-06-30,35.49,$-2.19,0.0
2023-03-31,34.2,$-2.37,0.0
2022-12-31,31.34,$-3.32,0.0
2022-09-30,27.94,$-8.60,0.0
2022-06-30,31.43,$-6.43,0.0
2022-03-31,34.16,$-7.80,0.0
2021-12-31,35.35,$-7.47,0.0
2021-09-30,32.01,$-2.69,0.0
2021-06-30,31.53,$-3.01,0.0
2021-03-31,29.61,$-2.14,0.0
2020-12-31,23.82,$-0.82,0.0
2020-09-30,21.54,$-1.00,0.0
2020-06-30,22.24,$-0.13,0.0
2020-03-31,14.35,$0.81,17.7
2019-12-31,29.58,$-0.54,0.0
2019-09-30,29.06,$-0.08,0.0
2019-06-30,27.26,$0.62,43.88
2019-03-31,24.15,$0.22,108.23
2018-12-31,21.61,$-1.81,0.0
2018-09-30,24.03,$0.48,50.22
2018-06-30,23.41,$-1.23,0.0
2018-03-31,22.2,$-2.16,0.0
2017-12-31,23.54,$1.29,18.31
2017-09-30,23.07,$-1.89,0.0
2017-06-30,22.0,$0.14,151.85
2017-03-31,21.43,$0.27,80.81
2016-12-31,20.29,$-0.82,0.0
2016-09-30,18.51,$1.57,11.8
2016-06-30,17.43,$-1.38,0.0
2016-03-31,16.21,$-0.74,0.0
2015-12-31,14.76,$-2.68,0.0
2015-09-30,13.17,$-4.96,0.0
2015-06-30,15.48,$-3.29,0.0
2015-03-31,14.62,$-5.98,0.0
2014-12-31,13.59,$-4.39,0.0
2014-09-30,13.87,$-5.41,0.0
2014-06-30,14.68,$-5.20,0.0
2014-03-31,14.29,$-6.29,0.0
2013-12-31,14.02,$-6.57,0.0
2013-09-30,12.54,$-7.00,0.0
2013-06-30,11.35,$-6.63,0.0
2013-03-31,12.94,$-6.14,0.0
2012-12-31,12.0,$-4.59,0.0
2012-09-30,11.43,$-11.27,0.0
2012-06-30,9.22,$-11.12,0.0
2012-03-31,9.23,$-7.39,0.0
2011-12-31,7.82,$-8.02,0.0
2011-09-30,6.4,$1.41,4.54
2011-06-30,6.69,$1.20,5.56
2011-03-31,6.37,$1.22,5.22
2010-12-31,6.12,$1.02,6.0
2010-09-30,5.26,$0.98,5.39
2010-06-30,4.83,$0.97,4.98
2010-03-31,4.93,$0.78,6.29
2009-12-31,4.92,$0.80,6.15
