Electra Battery Materials Price to Free Cash Flow Ratio Historical Data,Electra Battery Materials Price to Free Cash Flow Ratio Historical Data,Electra Battery Materials Price to Free Cash Flow Ratio Historical Data,Electra Battery Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.17,,0.0
2024-09-30,0.57,$-1.09,0.0
2024-06-30,0.42,$-1.89,0.0
2024-03-31,0.45,$-1.66,0.0
2023-12-31,0.37,$-2.51,0.0
2023-09-30,0.62,$-7.87,0.0
2023-06-30,0.97,$-6.91,0.0
2023-03-31,2.05,$-6.97,0.0
