Nucor Price to Free Cash Flow Ratio Historical Data,Nucor Price to Free Cash Flow Ratio Historical Data,Nucor Price to Free Cash Flow Ratio Historical Data,Nucor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,129.5,,37.53
2024-12-31,116.71,$3.45,33.82
2024-09-30,150.34,$7.20,20.87
2024-06-30,157.51,$13.35,11.8
2024-03-31,196.52,$16.11,12.2
2023-12-31,172.36,$19.62,8.78
2023-09-30,154.36,$23.83,6.48
2023-06-30,161.37,$24.94,6.47
2023-03-31,151.54,$26.18,5.79
2022-12-31,128.88,$30.99,4.16
2022-09-30,104.21,$31.07,3.35
2022-06-30,101.22,$26.11,3.88
2022-03-31,143.43,$22.51,6.37
2021-12-31,109.77,$15.77,6.96
2021-09-30,94.3,$8.83,10.67
2021-06-30,91.48,$6.00,15.26
2021-03-31,76.22,$5.35,14.24
2020-12-31,50.25,$3.94,12.76
2020-09-30,42.06,$4.11,10.23
2020-06-30,38.48,$4.63,8.32
2020-03-31,33.14,$2.60,12.75
2019-12-31,51.2,$4.50,11.39
2019-09-30,45.98,$4.27,10.77
2019-06-30,49.37,$4.73,10.45
2019-03-31,51.9,$5.90,8.8
2018-12-31,45.76,$4.56,10.04
2018-09-30,55.62,$4.55,12.22
2018-06-30,54.46,$3.08,17.7
2018-03-31,52.91,$1.36,38.98
2017-12-31,54.71,$1.97,27.77
2017-09-30,47.94,$2.46,19.48
2017-06-30,49.17,$2.14,22.93
2017-03-31,50.42,$2.64,19.07
2016-12-31,49.93,$3.64,13.72
2016-09-30,41.23,$3.73,11.04
2016-06-30,40.89,$4.49,9.11
2016-03-31,38.83,$5.65,6.87
2015-12-31,32.83,$5.69,5.77
2015-09-30,30.31,$5.69,5.33
2015-06-30,35.21,$5.43,6.49
2015-03-31,37.67,$4.07,9.25
2014-12-31,38.57,$2.22,17.35
2014-09-30,42.36,$0.86,49.03
2014-06-30,38.18,$0.16,240.28
2014-03-31,38.89,$0.03,1234.67
2013-12-31,40.78,$-0.27,0.0
2013-09-30,37.19,$-0.70,0.0
2013-06-30,32.62,$0.30,110.59
2013-03-31,34.47,$0.18,192.22
2012-12-31,31.98,$0.95,33.49
2012-09-30,28.11,$2.50,11.26
2012-06-30,27.58,$1.90,14.51
2012-03-31,30.95,$2.24,13.82
2011-12-31,28.27,$1.95,14.52
2011-09-30,22.4,$2.95,7.6
2011-06-30,28.85,$3.45,8.36
2011-03-31,31.92,$1.78,17.95
2010-12-31,30.16,$1.75,17.26
2010-09-30,26.08,$0.47,55.9
2010-06-30,25.89,$-0.15,0.0
2010-03-31,30.41,$2.70,11.27
2009-12-31,31.02,$2.52,12.3
