J M Smucker Price to Free Cash Flow Ratio Historical Data,J M Smucker Price to Free Cash Flow Ratio Historical Data,J M Smucker Price to Free Cash Flow Ratio Historical Data,J M Smucker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,109.35,,14.07
2025-01-31,106.89,$7.77,13.75
2024-10-31,112.37,$8.68,12.95
2024-07-31,115.72,$5.97,19.37
2024-04-30,111.65,$6.17,18.1
2024-01-31,126.81,$6.09,20.83
2023-10-31,108.7,$7.92,13.73
2023-07-31,142.78,$8.61,16.59
2023-04-30,145.4,$6.75,21.54
2023-01-31,142.88,$5.98,23.88
2022-10-31,139.92,$4.81,29.1
2022-07-31,121.95,$4.82,25.3
2022-04-30,125.34,$6.66,18.81
2022-01-31,127.73,$6.25,20.45
2021-10-31,110.77,$7.07,15.67
2021-07-31,117.32,$8.95,13.11
2021-04-30,116.45,$11.23,10.36
2021-01-31,102.67,$11.46,8.96
2020-10-31,98.21,$11.76,8.35
2020-07-31,94.97,$10.31,9.21
2020-04-30,99.04,$8.69,11.4
2020-01-31,88.57,$8.44,10.5
2019-10-31,89.59,$7.28,12.31
2019-07-31,93.53,$6.97,13.43
2019-04-30,102.46,$6.91,14.83
2019-01-31,86.91,$7.13,12.18
2018-10-31,89.09,$7.71,11.55
2018-07-31,90.7,$7.22,12.55
2018-04-30,92.49,$8.05,11.49
2018-01-31,102.2,$8.04,12.71
2017-10-31,84.77,$7.69,11.03
2017-07-31,96.82,$7.95,12.18
2017-04-30,100.05,$7.50,13.34
2017-01-31,106.67,$8.21,13.0
2016-10-31,102.53,$9.23,11.11
2016-07-31,119.79,$10.11,11.84
2016-04-30,98.16,$10.62,9.24
2016-01-31,98.68,$9.41,10.48
2015-10-31,89.75,$8.98,9.99
2015-07-31,84.87,$7.48,11.35
2015-04-30,87.61,$4.79,18.27
2015-01-31,77.51,$4.89,15.85
2014-10-31,77.65,$4.57,17.01
2014-07-31,73.94,$4.67,15.82
2014-04-30,71.32,$5.67,12.57
2014-01-31,70.67,$5.28,13.4
2013-10-31,81.1,$4.46,18.2
2013-07-31,81.64,$5.30,15.4
2013-04-30,74.52,$6.05,12.32
2013-01-31,63.62,$6.68,9.52
2012-10-31,61.1,$7.18,8.51
2012-07-31,54.42,$6.41,8.49
2012-04-30,56.07,$4.10,13.66
2012-01-31,55.14,$1.84,29.94
2011-10-31,53.58,$1.55,34.55
2011-07-31,53.85,$1.20,45.04
2011-04-30,51.57,$1.86,27.8
2011-01-31,42.41,$4.00,10.61
2010-10-31,43.58,$3.70,11.78
2010-07-31,41.36,$4.88,8.47
2010-04-30,40.84,$4.89,8.36
2010-01-31,39.93,$5.51,7.25
2009-10-31,34.83,$4.79,7.26
