Banner Price to Free Cash Flow Ratio Historical Data,Banner Price to Free Cash Flow Ratio Historical Data,Banner Price to Free Cash Flow Ratio Historical Data,Banner Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,64.26,,7.84
2024-12-31,66.77,$8.19,8.15
2024-09-30,59.12,$7.41,7.98
2024-06-30,48.83,$7.59,6.43
2024-03-31,46.72,$6.50,7.19
2023-12-31,51.57,$7.18,7.19
2023-09-30,40.36,$7.47,5.41
2023-06-30,41.17,$6.63,6.21
2023-03-31,50.76,$7.25,7.0
2022-12-31,58.57,$6.66,8.8
2022-09-30,54.43,$3.50,15.57
2022-06-30,51.42,$2.97,17.29
2022-03-31,53.11,$1.14,46.79
2021-12-31,54.65,$8.67,6.3
2021-09-30,49.39,$9.27,5.33
2021-06-30,48.12,$12.17,3.95
2021-03-31,47.0,$11.07,4.24
2020-12-31,40.7,$3.42,11.9
2020-09-30,27.88,$5.78,4.82
2020-06-30,32.46,$1.64,19.79
2020-03-31,27.87,$0.39,71.9
2019-12-31,46.54,$3.57,13.03
2019-09-30,45.83,$-0.54,0.0
2019-06-30,43.85,$1.67,26.27
2019-03-31,43.55,$7.28,5.98
2018-12-31,42.69,$0.23,182.81
2018-09-30,49.32,$4.25,11.6
2018-06-30,47.05,$3.26,14.44
2018-03-31,43.14,$2.18,19.83
2017-12-31,42.67,$10.14,4.21
2017-09-30,47.24,$5.04,9.37
2017-06-30,42.61,$5.46,7.8
2017-03-31,41.77,$2.28,18.36
2016-12-31,41.72,$-2.72,0.0
2016-09-30,32.53,$-1.39,0.0
2016-06-30,31.48,$-1.86,0.0
2016-03-31,30.95,$0.50,62.08
2015-12-31,33.76,$0.17,194.34
2015-09-30,34.89,$3.44,10.13
2015-06-30,34.88,$4.27,8.17
2015-03-31,33.27,$3.97,8.38
2014-12-31,31.18,$4.75,6.57
2014-09-30,27.64,$4.52,6.12
2014-06-30,28.34,$3.98,7.13
2014-03-31,29.35,$4.23,6.94
2013-12-31,31.92,$4.49,7.1
2013-09-30,26.97,$3.92,6.89
2013-06-30,23.8,$4.45,5.35
2013-03-31,22.34,$4.28,5.22
2012-12-31,21.56,$4.05,5.32
2012-09-30,19.04,$4.93,3.86
2012-06-30,15.36,$4.70,3.27
2012-03-31,15.43,$4.64,3.32
2011-12-31,12.01,$5.83,2.06
2011-09-30,8.95,$10.20,0.88
2011-06-30,12.24,$-5.56,0.0
2011-03-31,11.5,$5.84,1.97
2010-12-31,11.26,$11.62,0.97
2010-09-30,10.43,$12.99,0.8
2010-06-30,9.51,$25.52,0.37
2010-03-31,18.41,$19.81,0.93
2009-12-31,12.81,$24.87,0.52
