Movano Price to Free Cash Flow Ratio Historical Data,Movano Price to Free Cash Flow Ratio Historical Data,Movano Price to Free Cash Flow Ratio Historical Data,Movano Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.18,,0.0
2024-09-30,0.36,$-4.95,0.0
2024-06-30,0.28,$-5.49,0.0
2024-03-31,0.41,$-7.19,0.0
2023-12-31,0.78,$-8.52,0.0
2023-09-30,1.09,$-9.06,0.0
2023-06-30,1.09,$-10.64,0.0
2023-03-31,1.23,$-11.12,0.0
2022-12-31,1.3,$-11.35,0.0
2022-09-30,2.75,$-12.75,0.0
2022-06-30,2.39,$-11.35,0.0
2022-03-31,2.71,$-4.67,0.0
2021-12-31,3.8,$-9.55,0.0
