Revvity Price to Free Cash Flow Ratio Historical Data,Revvity Price to Free Cash Flow Ratio Historical Data,Revvity Price to Free Cash Flow Ratio Historical Data,Revvity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,106.98,,24.26
2024-12-31,111.61,$4.41,25.31
2024-09-30,127.68,$4.57,27.91
2024-06-30,104.73,$3.09,33.92
2024-03-31,104.8,$0.79,132.12
2023-12-31,109.03,$0.08,1373.13
2023-09-30,110.34,$-0.46,0.0
2023-06-30,118.33,$1.21,98.07
2023-03-31,132.68,$3.01,44.04
2022-12-31,139.54,$4.70,29.69
2022-09-30,119.68,$6.35,18.83
2022-06-30,141.38,$7.53,18.77
2022-03-31,173.35,$9.30,18.65
2021-12-31,199.71,$11.35,17.59
2021-09-30,172.05,$13.11,13.12
2021-06-30,153.24,$12.43,12.32
2021-03-31,127.25,$11.16,11.4
2020-12-31,142.27,$7.43,19.15
2020-09-30,124.36,$4.89,25.44
2020-06-30,97.13,$3.99,24.35
2020-03-31,74.48,$3.16,23.6
2019-12-31,96.0,$2.58,37.21
2019-09-30,84.14,$1.99,42.27
2019-06-30,95.1,$2.18,43.72
2019-03-31,95.05,$2.41,39.5
2018-12-31,77.42,$2.29,33.75
2018-09-30,95.79,$2.17,44.1
2018-06-30,72.05,$1.61,44.69
2018-03-31,74.43,$1.49,49.89
2017-12-31,71.81,$2.26,31.79
2017-09-30,67.67,$2.71,24.95
2017-06-30,66.79,$2.68,24.89
2017-03-31,56.84,$3.29,17.3
2016-12-31,50.99,$3.08,16.55
2016-09-30,54.79,$2.63,20.86
2016-06-30,51.12,$2.70,18.94
2016-03-31,48.17,$2.22,21.69
2015-12-31,52.09,$2.28,22.8
2015-09-30,44.62,$2.10,21.27
2015-06-30,51.04,$2.11,24.14
2015-03-31,49.52,$2.01,24.64
2014-12-31,42.28,$2.26,18.71
2014-09-30,42.08,$1.99,21.1
2014-06-30,45.13,$2.32,19.48
2014-03-31,43.35,$2.06,21.01
2013-12-31,39.6,$1.51,26.16
2013-09-30,36.19,$1.14,31.78
2013-06-30,31.09,$0.39,78.77
2013-03-31,32.12,$0.86,37.45
2012-12-31,30.24,$0.96,31.64
2012-09-30,28.01,$1.44,19.46
2012-06-30,24.46,$1.72,14.21
2012-03-31,26.15,$1.50,17.47
2011-12-31,18.85,$1.71,11.02
2011-09-30,18.04,$1.19,15.1
2011-06-30,25.2,$0.90,27.97
2011-03-31,24.54,$1.15,21.36
2010-12-31,24.05,$1.20,20.04
2010-09-30,21.49,$1.49,14.38
2010-06-30,19.13,$1.72,11.15
2010-03-31,22.05,$1.33,16.61
2009-12-31,18.93,$1.06,17.92
