FuboTV Price to Free Cash Flow Ratio Historical Data,FuboTV Price to Free Cash Flow Ratio Historical Data,FuboTV Price to Free Cash Flow Ratio Historical Data,FuboTV Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.08,,0.0
2024-12-31,1.26,$-0.29,0.0
2024-09-30,1.42,$-0.40,0.0
2024-06-30,1.24,$-0.51,0.0
2024-03-31,1.58,$-0.58,0.0
2023-12-31,3.18,$-0.71,0.0
2023-09-30,2.67,$-0.81,0.0
2023-06-30,2.08,$-1.12,0.0
2023-03-31,1.21,$-1.33,0.0
2022-12-31,1.74,$-1.77,0.0
2022-09-30,3.55,$-2.06,0.0
2022-06-30,2.47,$-2.03,0.0
2022-03-31,6.57,$-1.82,0.0
2021-12-31,15.52,$-1.48,0.0
2021-09-30,23.96,$-4.38,0.0
