First Financial Indiana Price to Free Cash Flow Ratio Historical Data,First Financial Indiana Price to Free Cash Flow Ratio Historical Data,First Financial Indiana Price to Free Cash Flow Ratio Historical Data,First Financial Indiana Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,50.05,,10.9
2024-12-31,46.19,$4.59,10.06
2024-09-30,43.39,$4.89,8.88
2024-06-30,36.04,$5.51,6.54
2024-03-31,37.46,$5.94,6.31
2023-12-31,41.57,$6.66,6.24
2023-09-30,32.32,$7.29,4.43
2023-06-30,31.04,$6.67,4.66
2023-03-31,35.29,$6.53,5.41
2022-12-31,42.68,$6.34,6.74
2022-09-30,41.86,$5.10,8.2
2022-06-30,41.22,$4.65,8.87
2022-03-31,39.61,$4.39,9.02
2021-12-31,40.88,$3.88,10.52
2021-09-30,37.96,$4.73,8.03
2021-06-30,36.85,$4.42,8.34
2021-03-31,40.15,$4.60,8.72
2020-12-31,34.22,$5.36,6.38
2020-09-30,27.66,$4.51,6.13
2020-06-30,32.45,$4.29,7.56
2020-03-31,29.27,$4.43,6.6
2019-12-31,39.22,$3.79,10.34
2019-09-30,37.29,$4.12,9.05
2019-06-30,34.45,$4.96,6.95
2019-03-31,35.56,$4.94,7.2
2018-12-31,33.59,$4.52,7.43
2018-09-30,41.99,$4.28,9.82
2018-06-30,37.94,$4.56,8.32
2018-03-31,34.4,$3.73,9.21
2017-12-31,37.09,$3.86,9.61
2017-09-30,37.7,$3.89,9.7
2017-06-30,37.46,$3.26,11.5
2017-03-31,37.24,$2.96,12.57
2016-12-31,41.0,$3.10,13.24
2016-09-30,31.59,$2.57,12.28
2016-06-30,28.44,$2.34,12.14
2016-03-31,26.2,$2.91,9.02
2015-12-31,25.65,$2.95,8.69
2015-09-30,24.42,$3.87,6.31
2015-06-30,27.0,$3.87,6.98
2015-03-31,26.72,$3.97,6.73
2014-12-31,26.14,$3.97,6.58
2014-09-30,22.71,$4.39,5.17
2014-06-30,23.62,$4.34,5.44
2014-03-31,24.34,$4.38,5.56
2013-12-31,26.07,$4.52,5.77
2013-09-30,22.51,$3.53,6.38
2013-06-30,22.1,$3.44,6.43
2013-03-31,22.1,$2.83,7.82
2012-12-31,21.23,$3.30,6.44
2012-09-30,21.64,$3.56,6.08
2012-06-30,20.03,$3.20,6.27
2012-03-31,21.56,$3.76,5.73
2011-12-31,22.6,$3.17,7.12
2011-09-30,18.41,$2.66,6.93
2011-06-30,21.91,$2.96,7.39
2011-03-31,21.91,$3.72,5.88
2010-12-31,23.16,$3.52,6.58
2010-09-30,19.19,$2.64,7.28
2010-06-30,16.79,$2.89,5.8
2010-03-31,18.52,$1.68,11.05
2009-12-31,19.52,$1.73,11.26
