I3 Verticals Price to Free Cash Flow Ratio Historical Data,I3 Verticals Price to Free Cash Flow Ratio Historical Data,I3 Verticals Price to Free Cash Flow Ratio Historical Data,I3 Verticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.58,,19.38
2024-12-31,23.04,$1.27,18.17
2024-09-30,21.31,$1.45,14.65
2024-06-30,22.08,$1.23,17.97
2024-03-31,22.89,$1.13,20.22
2023-12-31,21.17,$0.77,27.44
2023-09-30,21.14,$0.90,23.52
2023-06-30,22.86,$0.80,28.54
2023-03-31,24.53,$0.76,32.14
2022-12-31,24.34,$1.13,21.55
2022-09-30,20.03,$1.41,14.23
2022-06-30,25.02,$1.09,22.98
2022-03-31,27.86,$1.54,18.09
2021-12-31,22.79,$1.50,15.22
2021-09-30,24.21,$1.15,21.07
2021-06-30,30.22,$1.52,19.82
2021-03-31,31.13,$1.02,30.45
2020-12-31,33.2,$0.75,44.49
2020-09-30,25.25,$0.65,38.66
2020-06-30,30.25,$1.25,24.28
2020-03-31,19.09,$1.50,12.74
2019-12-31,28.25,$2.13,13.25
2019-09-30,20.12,$2.25,8.96
2019-06-30,29.45,$0.54,55.03
2019-03-31,24.02,$1.71,14.03
