Largo Price to Free Cash Flow Ratio Historical Data,Largo Price to Free Cash Flow Ratio Historical Data,Largo Price to Free Cash Flow Ratio Historical Data,Largo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.88,,0.0
2024-09-30,2.09,$-0.48,0.0
2024-06-30,1.85,$-0.78,0.0
2024-03-31,1.65,$-0.29,0.0
2023-12-31,2.31,$-0.65,0.0
2023-09-30,2.83,$-1.16,0.0
2023-06-30,4.29,$-0.66,0.0
2023-03-31,5.18,$-1.00,0.0
2022-12-31,5.38,$-0.83,0.0
2022-09-30,5.27,$-0.30,0.0
2022-06-30,6.84,$-0.14,0.0
2022-03-31,12.7,$0.19,65.7
2021-12-31,9.26,$0.19,48.66
