Kewaunee Scientific Price to Free Cash Flow Ratio Historical Data,Kewaunee Scientific Price to Free Cash Flow Ratio Historical Data,Kewaunee Scientific Price to Free Cash Flow Ratio Historical Data,Kewaunee Scientific Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,49.49,,36.74
2025-01-31,64.3,$1.35,47.73
2024-10-31,31.72,$5.37,5.91
2024-07-31,55.62,$2.55,21.81
2024-04-30,35.7,$5.17,6.9
2024-01-31,28.14,$4.09,6.88
2023-10-31,18.25,$-0.16,0.0
2023-07-31,15.66,$-1.65,0.0
2023-04-30,16.25,$-2.74,0.0
2023-01-31,16.5,$-4.44,0.0
2022-10-31,16.9,$-1.54,0.0
2022-07-31,18.56,$-1.53,0.0
2022-04-30,14.26,$-3.52,0.0
2022-01-31,14.65,$-1.78,0.0
2021-10-31,12.8,$-2.39,0.0
2021-07-31,13.31,$0.17,78.99
2021-04-30,12.0,$-0.54,0.0
2021-01-31,13.2,$-0.14,0.0
2020-10-31,8.2,$-1.41,0.0
2020-07-31,9.52,$-0.33,0.0
2020-04-30,10.23,$0.62,16.59
2020-01-31,12.56,$-0.24,0.0
2019-10-31,16.09,$0.40,39.77
2019-07-31,18.03,$0.04,500.82
2019-04-30,22.16,$-0.62,0.0
2019-01-31,31.24,$1.64,19.01
2018-10-31,28.17,$1.56,18.1
2018-07-31,30.3,$-1.34,0.0
2018-04-30,33.34,$-0.08,0.0
2018-01-31,27.32,$1.06,25.67
2017-10-31,26.87,$1.88,14.3
2017-07-31,23.77,$3.81,6.24
2017-04-30,21.32,$3.32,6.42
2017-01-31,23.31,$2.70,8.63
2016-10-31,20.55,$1.83,11.22
2016-07-31,18.5,$1.04,17.78
2016-04-30,15.16,$1.89,8.01
2016-01-31,15.16,$-1.16,0.0
2015-10-31,14.88,$-1.81,0.0
2015-07-31,14.73,$0.57,25.94
2015-04-30,13.91,$-0.10,0.0
2015-01-31,15.4,$1.75,8.78
2014-10-31,15.11,$2.33,6.5
2014-07-31,15.55,$1.53,10.16
2014-04-30,14.35,$2.30,6.25
2014-01-31,14.08,$1.22,11.58
2013-10-31,14.67,$1.86,7.88
2013-07-31,11.25,$0.15,76.95
2013-04-30,10.87,$0.55,19.88
2013-01-31,10.23,$2.39,4.28
2012-10-31,9.22,$2.26,4.09
2012-07-31,9.63,$3.48,2.77
2012-04-30,6.9,$2.13,3.24
2012-01-31,7.42,$-0.90,0.0
2011-10-31,7.54,$0.17,43.94
2011-07-31,7.67,$-1.12,0.0
2011-04-30,8.52,$-1.54,0.0
2011-01-31,10.45,$-0.09,0.0
2010-10-31,8.47,$-1.06,0.0
2010-07-31,8.46,$-0.47,0.0
2010-04-30,9.79,$0.11,85.71
2010-01-31,10.59,$1.31,8.1
2009-10-31,9.7,$0.15,62.72
