Confluent Price to Free Cash Flow Ratio Historical Data,Confluent Price to Free Cash Flow Ratio Historical Data,Confluent Price to Free Cash Flow Ratio Historical Data,Confluent Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.62,,902.37
2024-12-31,27.96,$0.03,947.8
2024-09-30,20.38,$0.41,49.87
2024-06-30,29.53,$-0.11,0.0
2024-03-31,30.52,$-0.23,0.0
2023-12-31,23.4,$-0.41,0.0
2023-09-30,29.61,$-4.61,0.0
2023-06-30,35.31,$-0.67,0.0
2023-03-31,24.07,$-0.68,0.0
2022-12-31,22.24,$-0.61,0.0
2022-09-30,23.77,$-0.77,0.0
2022-06-30,23.24,$-0.39,0.0
2022-03-31,41.0,$-0.82,0.0
