Hanover Insurance Price to Free Cash Flow Ratio Historical Data,Hanover Insurance Price to Free Cash Flow Ratio Historical Data,Hanover Insurance Price to Free Cash Flow Ratio Historical Data,Hanover Insurance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,171.04,,7.82
2024-12-31,154.66,$21.87,7.07
2024-09-30,147.25,$18.55,7.94
2024-06-30,123.99,$13.97,8.88
2024-03-31,133.66,$10.83,12.35
2023-12-31,118.4,$9.69,12.22
2023-09-30,107.48,$12.57,8.55
2023-06-30,108.68,$15.06,7.22
2023-03-31,122.68,$14.52,8.45
2022-12-31,128.21,$19.52,6.57
2022-09-30,120.87,$20.29,5.96
2022-06-30,137.2,$19.55,7.02
2022-03-31,139.53,$24.04,5.81
2021-12-31,121.64,$22.41,5.43
2021-09-30,119.62,$20.36,5.88
2021-06-30,124.54,$20.86,5.97
2021-03-31,118.27,$21.09,5.61
2020-12-31,106.23,$18.18,5.84
2020-09-30,84.16,$18.30,4.6
2020-06-30,90.9,$16.72,5.44
2020-03-31,80.74,$14.59,5.54
2019-12-31,120.98,$14.52,8.33
2019-09-30,117.27,$12.27,9.55
2019-06-30,110.5,$12.03,9.19
2019-03-31,97.86,$12.68,7.72
2018-12-31,95.43,$12.52,7.62
2018-09-30,100.27,$14.33,7.0
2018-06-30,96.74,$14.30,6.76
2018-03-31,94.97,$15.44,6.15
2017-12-31,86.66,$15.95,5.43
2017-09-30,77.31,$16.26,4.75
2017-06-30,70.32,$17.29,4.07
2017-03-31,71.03,$16.27,4.37
2016-12-31,71.38,$16.84,4.24
2016-09-30,58.82,$14.66,4.01
2016-06-30,65.6,$12.58,5.21
2016-03-31,69.57,$9.45,7.36
2015-12-31,62.38,$9.49,6.57
2015-09-30,59.26,$11.00,5.39
2015-06-30,56.17,$10.87,5.17
2015-03-31,54.76,$12.78,4.29
2014-12-31,53.49,$12.33,4.34
2014-09-30,45.8,$13.24,3.46
2014-06-30,46.8,$11.10,4.22
2014-03-31,45.26,$9.89,4.58
2013-12-31,43.72,$8.04,5.44
2013-09-30,40.25,$7.96,5.06
2013-06-30,35.37,$7.89,4.49
2013-03-31,35.67,$7.82,4.56
2012-12-31,27.61,$8.54,3.23
2012-09-30,26.32,$2.66,9.91
2012-06-30,27.42,$3.48,7.89
2012-03-31,28.58,$4.21,6.79
2011-12-31,24.12,$4.48,5.38
2011-09-30,24.29,$8.15,2.98
2011-06-30,25.59,$5.86,4.37
2011-03-31,30.5,$4.59,6.65
2010-12-31,31.12,$1.57,19.82
2010-09-30,31.13,$0.72,43.25
2010-06-30,28.65,$0.42,68.12
2010-03-31,28.56,$0.25,113.3
2009-12-31,28.93,$1.59,18.21
