Onfolio Holdings Price to Free Cash Flow Ratio Historical Data,Onfolio Holdings Price to Free Cash Flow Ratio Historical Data,Onfolio Holdings Price to Free Cash Flow Ratio Historical Data,Onfolio Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.03,,0.0
2024-09-30,1.08,$-0.25,0.0
2024-06-30,1.16,$-0.38,0.0
2024-03-31,0.48,$-0.42,0.0
2023-12-31,0.51,$-0.54,0.0
2023-09-30,0.84,$-0.57,0.0
2023-06-30,1.21,$-1.18,0.0
