Sotherly Hotels Price to Free Cash Flow Ratio Historical Data,Sotherly Hotels Price to Free Cash Flow Ratio Historical Data,Sotherly Hotels Price to Free Cash Flow Ratio Historical Data,Sotherly Hotels Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.8,,1.27
2024-09-30,1.21,$0.63,1.93
2024-06-30,1.15,$0.79,1.45
2024-03-31,1.45,$0.55,2.64
2023-12-31,1.49,$0.71,2.1
2023-09-30,1.69,$0.74,2.27
2023-06-30,1.89,$0.58,3.28
2023-03-31,2.0,$2.31,0.87
2022-12-31,1.81,$2.87,0.63
2022-09-30,1.88,$2.63,0.71
2022-06-30,1.74,$2.75,0.63
2022-03-31,2.06,$1.10,1.88
2021-12-31,2.09,$-0.04,0.0
2021-09-30,2.56,$-0.29,0.0
2021-06-30,3.0,$-0.50,0.0
2021-03-31,3.48,$-1.16,0.0
2020-12-31,2.5,$-1.06,0.0
2020-09-30,1.8,$-0.74,0.0
2020-06-30,2.52,$-0.71,0.0
2020-03-31,1.6,$0.23,7.06
2019-12-31,6.24,$0.25,24.61
2019-09-30,6.04,$0.39,15.45
2019-06-30,6.16,$0.30,20.24
2019-03-31,5.92,$0.28,21.46
2018-12-31,4.79,$-5.60,0.0
2018-09-30,6.03,$-6.01,0.0
2018-06-30,5.75,$-5.99,0.0
2018-03-31,5.6,$-6.37,0.0
2017-12-31,5.13,$-0.42,0.0
2017-09-30,4.61,$-0.11,0.0
2017-06-30,5.2,$-0.01,0.0
2017-03-31,4.84,$0.19,25.38
2016-12-31,5.06,$0.22,22.98
2016-09-30,3.87,$-0.16,0.0
2016-06-30,4.07,$-2.11,0.0
2016-03-31,3.64,$-2.32,0.0
2015-12-31,4.3,$-2.54,0.0
2015-09-30,4.68,$-2.71,0.0
2015-06-30,4.81,$-0.57,0.0
2015-03-31,5.13,$0.24,21.27
2014-12-31,5.01,$-5.40,0.0
2014-09-30,5.17,$-7.72,0.0
2014-06-30,5.15,$-7.86,0.0
2014-03-31,4.16,$-8.41,0.0
2013-12-31,3.85,$-2.56,0.0
2013-09-30,3.05,$0.45,6.83
2013-06-30,2.8,$0.69,4.08
2013-03-31,2.63,$0.57,4.62
2012-12-31,2.08,$0.61,3.4
2012-09-30,2.53,$0.37,6.89
2012-06-30,2.21,$0.26,8.42
2012-03-31,1.79,$0.02,72.91
2011-12-31,1.45,$0.17,8.77
2011-09-30,1.3,$0.30,4.28
2011-06-30,1.75,$0.05,34.7
2011-03-31,1.52,$0.53,2.85
2010-12-31,1.26,$0.19,6.48
2010-09-30,1.55,$0.15,10.43
2010-06-30,1.05,$0.04,25.65
2010-03-31,1.48,$-0.23,0.0
2009-12-31,1.21,$-1.34,0.0
