ORTHOFIX MEDICAL INC Price to Free Cash Flow Ratio Historical Data,ORTHOFIX MEDICAL INC Price to Free Cash Flow Ratio Historical Data,ORTHOFIX MEDICAL INC Price to Free Cash Flow Ratio Historical Data,ORTHOFIX MEDICAL INC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.9,,0.0
2024-12-31,17.46,$-0.24,0.0
2024-09-30,15.62,$-1.26,0.0
2024-06-30,13.26,$-1.99,0.0
2024-03-31,14.52,$-2.43,0.0
2023-12-31,13.48,$-2.94,0.0
2023-09-30,12.86,$-2.49,0.0
2023-06-30,18.06,$-2.17,0.0
2023-03-31,16.75,$-2.34,0.0
2022-12-31,20.53,$-1.73,0.0
2022-09-30,19.11,$-1.30,0.0
2022-06-30,23.54,$-0.86,0.0
2022-03-31,32.7,$-0.61,0.0
2021-12-31,31.09,$-0.06,0.0
2021-09-30,38.12,$0.24,157.07
2021-06-30,40.11,$1.08,37.09
2021-03-31,43.35,$2.13,20.35
2020-12-31,42.98,$2.58,16.69
2020-09-30,31.14,$2.36,13.2
2020-06-30,32.0,$1.73,18.49
2020-03-31,28.01,$1.24,22.51
2019-12-31,46.18,$0.61,75.85
2019-09-30,53.02,$1.06,50.23
2019-06-30,52.88,$1.37,38.53
2019-03-31,56.41,$1.88,29.99
2018-12-31,52.49,$1.76,29.89
2018-09-30,57.81,$2.32,24.96
2018-06-30,56.82,$2.22,25.65
2018-03-31,58.78,$1.60,36.64
2017-12-31,54.7,$1.22,44.98
2017-09-30,47.25,$0.77,61.44
2017-06-30,46.48,$0.88,52.93
2017-03-31,38.15,$1.48,25.83
2016-12-31,36.18,$2.21,16.4
2016-09-30,42.77,$1.87,22.91
2016-06-30,42.4,$1.69,25.1
2016-03-31,41.52,$0.88,47.24
2015-12-31,39.21,$1.09,35.93
2015-09-30,33.75,$1.00,33.61
2015-06-30,33.12,$1.16,28.67
2015-03-31,35.89,$2.66,13.52
2014-12-31,30.06,$1.77,16.98
2014-09-30,30.96,$3.35,9.25
2014-06-30,36.25,$3.14,11.55
2014-03-31,30.15,$2.36,12.76
2013-12-31,22.82,$3.59,6.36
2013-09-30,20.77,$-1.95,0.0
2013-06-30,26.9,$-2.20,0.0
2013-03-31,35.87,$-2.71,0.0
2012-12-31,39.33,$-0.95,0.0
2012-09-30,44.75,$3.45,12.99
2012-06-30,41.25,$3.76,10.98
2012-03-31,37.58,$3.57,10.53
2011-12-31,35.23,$2.08,16.94
2011-09-30,34.51,$0.01,0.0
2011-06-30,42.47,$-0.24,0.0
2011-03-31,32.46,$1.65,19.73
2010-12-31,29.0,$0.89,32.56
2010-09-30,31.42,$3.02,10.41
2010-06-30,32.05,$2.99,10.73
2010-03-31,36.38,$1.20,30.4
2009-12-31,30.93,$1.66,18.61
