Bolt Projects Holdings Price to Free Cash Flow Ratio Historical Data,Bolt Projects Holdings Price to Free Cash Flow Ratio Historical Data,Bolt Projects Holdings Price to Free Cash Flow Ratio Historical Data,Bolt Projects Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.32,,0.04
2024-09-30,0.82,$7.11,0.12
2024-06-30,11.04,$-0.19,0.0
2024-03-31,10.72,$-0.18,0.0
2023-12-31,10.58,$-0.24,0.0
2023-09-30,10.55,$-8.12,0.0
2023-06-30,10.26,$-0.20,0.0
2023-03-31,10.11,$-0.17,0.0
2022-12-31,10.02,$-0.11,0.0
2022-09-30,9.81,$-0.07,0.0
2022-06-30,9.76,$-0.14,0.0
2022-03-31,9.76,$-0.19,0.0
