Oatly Group AB Price to Free Cash Flow Ratio Historical Data,Oatly Group AB Price to Free Cash Flow Ratio Historical Data,Oatly Group AB Price to Free Cash Flow Ratio Historical Data,Oatly Group AB Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.48,,0.0
2024-12-31,0.66,$-4.10,0.0
2024-09-30,0.85,$-7.35,0.0
2024-06-30,0.94,$-5.52,0.0
2024-03-31,1.13,$-5.52,0.0
2023-12-31,1.18,$-7.81,0.0
2023-09-30,0.9,$-6.91,0.0
2023-06-30,2.05,$-12.98,0.0
2023-03-31,2.42,$-15.09,0.0
2022-12-31,1.74,$-15.90,0.0
2022-09-30,2.63,$-19.46,0.0
2022-06-30,3.46,$-18.02,0.0
2022-03-31,5.01,$-21.89,0.0
